Game types and genres_nouns.csv
Unique nouns: 144,Total nouns: 180
Total time: 1.596 sec,Cost per noun: 8.869 ms
the famed tetris,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1
lemming,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1
intelligent cube,['Intelligent Cube was another interesting puzzle game of limited success.'],1
another interesting puzzle game,['Intelligent Cube was another interesting puzzle game of limited success.'],1
limited success,['Intelligent Cube was another interesting puzzle game of limited success.'],1
grace role playing,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1
the player,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1
an opportunity,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1
themselves,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1
the player character's situation,"[""Lindsay Grace Role Playing: Games that offer the player an opportunity to immerse themselves in the player character's situation.""]",1
role playing game,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1
rpg,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1
their rich history,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1
innovative way,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1
story,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1
character,"['Characters tend to be rich, game play is long, and character management is technical in RPGs.', 'A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",2
character management,"['Characters tend to be rich, game play is long, and character management is technical in RPGs.']",1
rpgs,"['Characters tend to be rich, game play is long, and character management is technical in RPGs.']",1
famous rpgs,"[""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
baldour's gate,"[""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
magic,"[""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
neverwinter night,"[""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
world,"[""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
warcraft,"[""Famous RPGs include, Baldour's Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
the primary game,['Simulation: The primary game play element of a simulation is its ability to match real world situations.'],1
element,['Simulation: The primary game play element of a simulation is its ability to match real world situations.'],1
a simulation,"['Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'Larry does not ""match real world situations"" but it is still a simulation.']",2
its ability,['Simulation: The primary game play element of a simulation is its ability to match real world situations.'],1
real world situation,"['Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'Larry does not ""match real world situations"" but it is still a simulation.']",2
enjoyment,['Simulations seek to provide enjoyment through reenactment.'],1
reenactment,['Simulations seek to provide enjoyment through reenactment.'],1
combat simulation,['Combat simulations and racecar simulations are relatively popular in this game type.'],1
racecar simulation,['Combat simulations and racecar simulations are relatively popular in this game type.'],1
this game type,['Combat simulations and racecar simulations are relatively popular in this game type.'],1
social situation simulation,['Simulations may also include social situation simulation such as Sims and Leisure Suit Larry1.'],1
sim,['Simulations may also include social situation simulation such as Sims and Leisure Suit Larry1.'],1
leisure suit larry1,['Simulations may also include social situation simulation such as Sims and Leisure Suit Larry1.'],1
major game,['Major games include Gran Tourismo and the Tycoon games.'],1
gran tourismo,['Major games include Gran Tourismo and the Tycoon games.'],1
the tycoon game,['Major games include Gran Tourismo and the Tycoon games.'],1
strategy,['Strategy:'],1
strategy game,['Strategy games entertain through reasoning and problem solving.'],1
early strategy game,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
e.g. civilization,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
much storytelling,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
more recent game,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
quality narrative,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
command,['Games such as Command and Conquer are examples of story based strategy games.'],1
conquer,['Games such as Command and Conquer are examples of story based strategy games.'],1
example,"['Games such as Command and Conquer are examples of story based strategy games.', 'There could be, for example, a game genre for romance or history, but these are not listed here.', 'The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",3
story base strategy game,['Games such as Command and Conquer are examples of story based strategy games.'],1
leisure suit,"['1 OK, so Leisure Suit']",1
larry,"['Larry does not ""match real world situations"" but it is still a simulation.']",1
it,"['Larry does not ""match real world situations"" but it is still a simulation.', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']",2
spaceship simulation,"['This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",1
the experience,"['This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",1
an object,"['This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",1
grace game genre game genre,['Lindsay Grace Game Genre Game genre describes the way the story is told.'],1
the way,['Lindsay Grace Game Genre Game genre describes the way the story is told.'],1
the story,"['Lindsay Grace Game Genre Game genre describes the way the story is told.', 'A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",2
a genre,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
a narrative style,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
the structure,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
the depth,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
other storytelle element,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
a list,['The following is a list of game genres.'],1
the genre,"[""The genre's roughly translate to the genres of film and television.""]",2
film,"[""The genre's roughly translate to the genres of film and television.""]",1
television,"[""The genre's roughly translate to the genres of film and television.""]",1
anyone,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
pop culture,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
they,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden', 'Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']",2
an explanation,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
genre example drama max payne crime grand theft auto fantasy kingdom heart,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
fable horror resident evil mystery indigo prophecy science fiction doom,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
half life war,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
"espionage metal gear solid, ghost recon western/eastern/frontier red","['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama Max Payne Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
a comprehensive list,['This is not a comprehensive list.'],1
a game genre,"['There could be, for example, a game genre for romance or history, but these are not listed here.']",1
romance,"['There could be, for example, a game genre for romance or history, but these are not listed here.']",1
history,"['There could be, for example, a game genre for romance or history, but these are not listed here.']",1
few modern game,['Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.'],1
a single category,['Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.'],1
modern game,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
all world,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
a thoroughly entertaining collection,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
game mechanic,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
convention,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
the grand theft auto series,"['The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",1
"a crime, fantasy genre","['The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",1
"an action, role-playing game type","['The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",1
grace,['Lindsay Grace'],1
