VideoGameGenres_09_nouns.csv,
Unique nouns: 339, Total nouns: 689
Total time: Uncomputed,Cost per noun: Uncomputed
this comprehensive analysis,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",1
multiple psychological systems,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",1
a unified model,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",1
player behavior,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",1
game developers,"['Page 1 of 4\n\nÂ\xa0\n\n[In this comprehensive analysis, multiple psychological systems of gameplay are surveyed, to try and arrive at a unified model in which player behavior can be understood and, crucially for game developers, catered to.]']",1
gamer,"['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.', 'By determining his preference for Acting vs. Interacting and for Players vs. World, then looking up the play style in the quadrant corresponding to that combination, any gamer could easily identify his naturally preferred play style.', 'A gamer who prefers acting over interacting and is focused more on the world of the game than other players, for example, would most likely demonstrate Achiever behaviors when playing a game.', ""Here's a diagram showing how the four Bartle Types emerge from the conjunction of the two major gamer concerns with content and control.""]",4
psychology,['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.'],1
couple,['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.'],1
decade,['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.'],1
numerous models,['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.'],1
gamer psychology,['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.'],1
the past couple,['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.'],1
decades,['\n\nNumerous models of gamer psychology have been proposed and debated over the past couple of decades.'],1
bartle,"['One of the earliest and simplest has proven to be one of the most referenced and most enduring: the Bartle Types .', 'I believe this is because the Bartle Types are a functional model of human personality in a game playing context.', ""In other words, the Bartle typology works because it's a subset of a more general personality model that works."", ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles."", ""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", '\n\nThe Four Bartle Types', 'The official description of the original four Bartle Types (which have been expanded to eight types in Richard Bartle\'s book Designing Virtual Worlds) is preserved in the paper "" Hearts, Clubs, Diamonds, Spades: Players Who Suit MUDs "" by Multi-User Dungeon (MUD) co-creator Richard Bartle.', '\n\nThe bases of the Bartle Types are thus two pairs of complementary player goals:', 'Bartle represented these interests as two lines at right angles to each other to create a grid with four quadrants, each quadrant corresponding to one of the four observed play style preferences.', ""Here's a diagram showing how the four Bartle Types emerge from the conjunction of the two major gamer concerns with content and control."", 'The   Bartle Types\n\nThe Four Keirsey Temperaments\n\nIn the 1970s, psychologist David Keirsey identified four general patterns from the sixteen types of the Myers-Briggs personality model.', 'In his book (co-written with Marilyn Bates) Please Understand Me, Keirsey described these four ""temperaments,"" giving them descriptive names much as Richard Bartle named his player types:\n\nArtisan (Sensing + Perceiving): realistic, tactical, manipulative (of things or people), pragmatic, impulsive, action-focused, sensation-seeking\n\nGuardian (Sensing + Judging): practical, logistical, hierarchical, organized, detail-oriented, possessive, process-focused, security-seeking', ""(iNtuition + Feeling): imaginative, diplomatic, emotional, relationship-oriented, dramatic, person-focused, identity-seeking\n\nIn the second edition of Keirsey's book, Please Understand Me II, Keirsey grouped his four temperaments as four quadrants across two axes to show how they were related according to an internal structure, very much as Richard Bartle had."", ""Here's how these four styles are represented (using my two axes, not Keirsey's) with the same kind of four-quadrant format that Richard Bartle used for the four Bartle Types:\n\nThe Keirsey Temperaments (Stewart Format)"", 'Keirsey and Bartle\n\nThe first of the two major assertions I make in this article is that the four temperaments described by David Keirsey --', 'Artisan, Guardian, Rational, and Idealist -- are supersets of the original four player types -- Killer, Achiever, Explorer, and Socializer, respectively -- as described by Richard Bartle.', '\n\nBARTLE']",23
types,"['One of the earliest and simplest has proven to be one of the most referenced and most enduring: the Bartle Types .', 'I believe this is because the Bartle Types are a functional model of human personality in a game playing context.', '\n\nThe Four Bartle Types', 'The official description of the original four Bartle Types (which have been expanded to eight types in Richard Bartle\'s book Designing Virtual Worlds) is preserved in the paper "" Hearts, Clubs, Diamonds, Spades: Players Who Suit MUDs "" by Multi-User Dungeon (MUD) co-creator Richard Bartle.', '\n\nThe bases of the Bartle Types are thus two pairs of complementary player goals:', ""Here's a diagram showing how the four Bartle Types emerge from the conjunction of the two major gamer concerns with content and control."", 'The   Bartle Types\n\nThe Four Keirsey Temperaments\n\nIn the 1970s, psychologist David Keirsey identified four general patterns from the sixteen types of the Myers-Briggs personality model.', ""Here's how these four styles are represented (using my two axes, not Keirsey's) with the same kind of four-quadrant format that Richard Bartle used for the four Bartle Types:\n\nThe Keirsey Temperaments (Stewart Format)""]",8
the bartle types,"['One of the earliest and simplest has proven to be one of the most referenced and most enduring: the Bartle Types .', 'I believe this is because the Bartle Types are a functional model of human personality in a game playing context.', '\n\nThe bases of the Bartle Types are thus two pairs of complementary player goals:']",3
personality,"['I believe this is because the Bartle Types are a functional model of human personality in a game playing context.', ""In other words, the Bartle typology works because it's a subset of a more general personality model that works."", 'The   Bartle Types\n\nThe Four Keirsey Temperaments\n\nIn the 1970s, psychologist David Keirsey identified four general patterns from the sixteen types of the Myers-Briggs personality model.']",3
playing,['I believe this is because the Bartle Types are a functional model of human personality in a game playing context.'],1
context,['I believe this is because the Bartle Types are a functional model of human personality in a game playing context.'],1
i,"['I believe this is because the Bartle Types are a functional model of human personality in a game playing context.', ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles."", ""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", ""Killers: interfere with the functioning of the game world or the play experience of other players\n\nAchievers: accumulate status tokens by beating the rules-based challenges of the game world\n\nExplorers: discover the systems governing the operation of the game world\n\nSocializers: form relationships with other players by telling stories within the game world\n\nThese four styles emerged from the combination of two primary gameplay interests, which I've called Content and Control, each of which has two mutually exclusive forms."", 'However, by the time he proposed his grouping model in the second edition of his book, I had already worked out a somewhat different arrangement.', 'Rather than the two dimensions that Keirsey used in his model, I believe the two most fundamentally distinctive dimensions of human behavior are Internals (a preference for seeing possibilities and the abstract) vs. Externals (seeing the concrete and realistic), and Change (which can be thought of as freedom or opportunity) vs. Structure (which can be understood as rules or organization).', 'Keirsey and Bartle\n\nThe first of the two major assertions I make in this article is that the four temperaments described by David Keirsey --']",7
a functional model,['I believe this is because the Bartle Types are a functional model of human personality in a game playing context.'],1
human personality,['I believe this is because the Bartle Types are a functional model of human personality in a game playing context.'],1
a game playing context,['I believe this is because the Bartle Types are a functional model of human personality in a game playing context.'],1
word,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works.""]",1
typology,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works."", ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",2
subset,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works.""]",1
other words,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works.""]",1
the bartle typology,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works."", ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",2
it,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works.""]",1
a subset,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works.""]",1
a more general personality model,"[""In other words, the Bartle typology works because it's a subset of a more general personality model that works.""]",1
fact,"['In fact, several of the best-known play style and game design models share many conceptual elements.']",2
play,"['In fact, several of the best-known play style and game design models share many conceptual elements.', ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles."", '\n\nThis model, which was based on observing and analyzing the behaviors people playing together in a multi-user game, holds that there are four different kinds of play style interests, each of which is given a descriptive name:', ""Killers: interfere with the functioning of the game world or the play experience of other players\n\nAchievers: accumulate status tokens by beating the rules-based challenges of the game world\n\nExplorers: discover the systems governing the operation of the game world\n\nSocializers: form relationships with other players by telling stories within the game world\n\nThese four styles emerged from the combination of two primary gameplay interests, which I've called Content and Control, each of which has two mutually exclusive forms."", 'Bartle represented these interests as two lines at right angles to each other to create a grid with four quadrants, each quadrant corresponding to one of the four observed play style preferences.', 'By determining his preference for Acting vs. Interacting and for Players vs. World, then looking up the play style in the quadrant corresponding to that combination, any gamer could easily identify his naturally preferred play style.']",8
style,"['In fact, several of the best-known play style and game design models share many conceptual elements.', ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles."", '\n\nThis model, which was based on observing and analyzing the behaviors people playing together in a multi-user game, holds that there are four different kinds of play style interests, each of which is given a descriptive name:', ""Killers: interfere with the functioning of the game world or the play experience of other players\n\nAchievers: accumulate status tokens by beating the rules-based challenges of the game world\n\nExplorers: discover the systems governing the operation of the game world\n\nSocializers: form relationships with other players by telling stories within the game world\n\nThese four styles emerged from the combination of two primary gameplay interests, which I've called Content and Control, each of which has two mutually exclusive forms."", 'Bartle represented these interests as two lines at right angles to each other to create a grid with four quadrants, each quadrant corresponding to one of the four observed play style preferences.', 'By determining his preference for Acting vs. Interacting and for Players vs. World, then looking up the play style in the quadrant corresponding to that combination, any gamer could easily identify his naturally preferred play style.', ""Here's how these four styles are represented (using my two axes, not Keirsey's) with the same kind of four-quadrant format that Richard Bartle used for the four Bartle Types:\n\nThe Keirsey Temperaments (Stewart Format)""]",9
design,"['In fact, several of the best-known play style and game design models share many conceptual elements.', ""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",2
element,"['In fact, several of the best-known play style and game design models share many conceptual elements.']",1
the best-known play style and game design models,"['In fact, several of the best-known play style and game design models share many conceptual elements.']",1
many conceptual elements,"['In fact, several of the best-known play style and game design models share many conceptual elements.']",1
caillois,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",2
lazzaro,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",2
bateman,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles."", ""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",3
edwards,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",2
hunicke,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
leblanc,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
zubek,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
variation,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
unified,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
the play style models,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
the game design models,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
hunicke/leblanc/zubek,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
variations,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
a single unified model,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
play styles,"[""So I'm also proposing here that the Bartle typology, the play style models of Caillois, Lazzaro, and Bateman, and the game design models of Edwards and Hunicke/LeBlanc/Zubek are all variations on a single Unified Model of play styles.""]",1
reference,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",1
article,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", '(Note: This table is rotated 90 degrees clockwise from the version presented in ""Players Who Suit MUDs"" for reasons that will become apparent later in this article.)', 'Keirsey and Bartle\n\nThe first of the two major assertions I make in this article is that the four temperaments described by David Keirsey --']",3
work,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",1
richard,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", 'The official description of the original four Bartle Types (which have been expanded to eight types in Richard Bartle\'s book Designing Virtual Worlds) is preserved in the paper "" Hearts, Clubs, Diamonds, Spades: Players Who Suit MUDs "" by Multi-User Dungeon (MUD) co-creator Richard Bartle.', 'In his book (co-written with Marilyn Bates) Please Understand Me, Keirsey described these four ""temperaments,"" giving them descriptive names much as Richard Bartle named his player types:\n\nArtisan (Sensing + Perceiving): realistic, tactical, manipulative (of things or people), pragmatic, impulsive, action-focused, sensation-seeking\n\nGuardian (Sensing + Judging): practical, logistical, hierarchical, organized, detail-oriented, possessive, process-focused, security-seeking', ""(iNtuition + Feeling): imaginative, diplomatic, emotional, relationship-oriented, dramatic, person-focused, identity-seeking\n\nIn the second edition of Keirsey's book, Please Understand Me II, Keirsey grouped his four temperaments as four quadrants across two axes to show how they were related according to an internal structure, very much as Richard Bartle had."", ""Here's how these four styles are represented (using my two axes, not Keirsey's) with the same kind of four-quadrant format that Richard Bartle used for the four Bartle Types:\n\nThe Keirsey Temperaments (Stewart Format)"", 'Artisan, Guardian, Rational, and Idealist -- are supersets of the original four player types -- Killer, Achiever, Explorer, and Socializer, respectively -- as described by Richard Bartle.']",7
david,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", 'The   Bartle Types\n\nThe Four Keirsey Temperaments\n\nIn the 1970s, psychologist David Keirsey identified four general patterns from the sixteen types of the Myers-Briggs personality model.', 'Keirsey and Bartle\n\nThe first of the two major assertions I make in this article is that the four temperaments described by David Keirsey --']",3
keirsey,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", 'The   Bartle Types\n\nThe Four Keirsey Temperaments\n\nIn the 1970s, psychologist David Keirsey identified four general patterns from the sixteen types of the Myers-Briggs personality model.', 'In his book (co-written with Marilyn Bates) Please Understand Me, Keirsey described these four ""temperaments,"" giving them descriptive names much as Richard Bartle named his player types:\n\nArtisan (Sensing + Perceiving): realistic, tactical, manipulative (of things or people), pragmatic, impulsive, action-focused, sensation-seeking\n\nGuardian (Sensing + Judging): practical, logistical, hierarchical, organized, detail-oriented, possessive, process-focused, security-seeking', ""(iNtuition + Feeling): imaginative, diplomatic, emotional, relationship-oriented, dramatic, person-focused, identity-seeking\n\nIn the second edition of Keirsey's book, Please Understand Me II, Keirsey grouped his four temperaments as four quadrants across two axes to show how they were related according to an internal structure, very much as Richard Bartle had."", 'Rather than the two dimensions that Keirsey used in his model, I believe the two most fundamentally distinctive dimensions of human behavior are Internals (a preference for seeing possibilities and the abstract) vs. Externals (seeing the concrete and realistic), and Change (which can be thought of as freedom or opportunity) vs. Structure (which can be understood as rules or organization).', ""Here's how these four styles are represented (using my two axes, not Keirsey's) with the same kind of four-quadrant format that Richard Bartle used for the four Bartle Types:\n\nThe Keirsey Temperaments (Stewart Format)"", 'Keirsey and Bartle\n\nThe first of the two major assertions I make in this article is that the four temperaments described by David Keirsey --']",16
christopher,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",1
other,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", 'Similarly, Killers and Socializers both seemed eager to have the opportunity to control how they are able to play dynamically with others in the game world, while Achievers and Explorers seemed most interested in controlling their relationships with the developer-defined objects in and properties of the game world itself.']",2
quotation,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",1
interpretation,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",1
all references,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",1
this article,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations."", '(Note: This table is rotated 90 degrees clockwise from the version presented in ""Players Who Suit MUDs"" for reasons that will become apparent later in this article.)', 'Keirsey and Bartle\n\nThe first of the two major assertions I make in this article is that the four temperaments described by David Keirsey --']",3
the works,"[""\n\n(Please note that any and all references I make in this article to the works of Richard Bartle, David Keirsey, Christopher Bateman and others that aren't clearly sourced as quotations are my own interpretations.""]",1
