New Microsoft Word Document_nouns.csv
Unique nouns: 113, Total nouns: 189
Total time: 1.219 sec,Cost per noun: 6.449 ms
brief list,['The following is brief list of game types:'],1
action,"['Action: Games that offer intensity of action as the primary attraction.', 'The most common action games are shooters (Doom) and stealth (Metal Gear).', 'Action games also include most sports titles, although some sports titles fall into the category of simulation.', 'Adventure: Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.']",7
intensity,"['Action: Games that offer intensity of action as the primary attraction.', 'Larry does not ""match real world situations"" but it is still a simulation.', 'Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.']",3
reflex response,['Reflex response is the primary skill needed to play these games well.'],1
the primary skill,['Reflex response is the primary skill needed to play these games well.'],1
these game,"['Reflex response is the primary skill needed to play these games well.', 'These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.', 'These games are most commonly released on low budgets via the web.', '  The people who play these games tend be the oldest population of the game playing community.']",4
shooter,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1
doom,"['The most common action games are shooters (Doom) and stealth (Metal Gear).', 'Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil  Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",2
stealth,['The most common action games are shooters (Doom) and stealth (Metal Gear).'],1
metal gear,"['The most common action games are shooters (Doom) and stealth (Metal Gear).', 'Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil  Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",2
most sport title,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1
some sport title,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1
the category,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.']",1
simulation,"['Action games also include most sports titles, although some sports titles fall into the category of simulation.', 'Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'Simulations seek to provide enjoyment through reenactment.', 'Combat simulations and racecar simulations are relatively popular in this game type.', 'Simulations may also include social situation simulation such as Sims and  Leisure Suit', 'Larry does not ""match real world situations"" but it is still a simulation.', 'This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",10
adventure,"['Adventure: Games that offer exploration and puzzle solving as the main attraction.', 'Pioneer adventure games include Myst and Syberia.']",2
exploration,['Adventure: Games that offer exploration and puzzle solving as the main attraction.'],1
puzzle,"['Adventure: Games that offer exploration and puzzle solving as the main attraction.', 'Puzzle: Games that offer puzzles as the primary attraction to games.', '  One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.', 'Intelligent Cube was another interesting puzzle game of limited success.']",5
the most engrossing story,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1
their popularity,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1
the last 2 decade,"['These games historically offered the most engrossing story, although their popularity has declined in the last 2 decades.']",1
reasoning,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.', ' Strategy: Strategy games entertain through reasoning and problem solving.']",2
creativity,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1
curiosity,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1
the most common skill,"['Reasoning, creativity, and curiosity are the most common skills required of a good adventure game player.']",1
myst,['Pioneer adventure games include Myst and Syberia.'],1
syberia,['Pioneer adventure games include Myst and Syberia.'],1
low budget,['These games are most commonly released on low budgets via the web.'],1
the people,['The people who play these games tend be the oldest population of the game playing community.'],1
who,['The people who play these games tend be the oldest population of the game playing community.'],1
the old population,['The people who play these games tend be the oldest population of the game playing community.'],1
the famed tetris,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1
lemmings,"['One of the most successful puzzle games is the famed Tetris, Lemmings and Minesweeper.']",1
intelligent cube,['Intelligent Cube was another interesting puzzle game of limited success.'],1
limited success,['Intelligent Cube was another interesting puzzle game of limited success.'],1
\'b\\\,"['\\\'"", \\\'b\\\\\\\' Role Playing: Games that offer the player an opportunity to immerse themselves in the player character\\\\\\\'s situation.']",1
the player,"['\\\'"", \\\'b\\\\\\\' Role Playing: Games that offer the player an opportunity to immerse themselves in the player character\\\\\\\'s situation.', ' \\\'"", \\\'b\\\\\\\' Role Playing: Games that offer the player an opportunity to immerse themselves in the player character\\\\\\\'s situation.']",2
an opportunity,"['\\\'"", \\\'b\\\\\\\' Role Playing: Games that offer the player an opportunity to immerse themselves in the player character\\\\\\\'s situation.']",1
themselves,"['\\\'"", \\\'b\\\\\\\' Role Playing: Games that offer the player an opportunity to immerse themselves in the player character\\\\\\\'s situation.']",1
role playing games,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1
rpg,"['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.', '  Characters tend to be rich, game play is long, and character management is technical in RPGs.', ""  Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",3
their rich history,"['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.', 'There could be, for example, a game genre for romance or history, but these are not listed here.']",2
innovative way,['Role Playing Games (RPG) continue their rich history in storytelling by embracing innovative ways to vary and report story.'],1
characters,"['Characters tend to be rich, game play is long, and character management is technical in RPGs.', 'A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",2
character management,"['Characters tend to be rich, game play is long, and character management is technical in RPGs.']",1
baldour\\\ 's gate,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
fable,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
might,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
magic,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
neverwinter nights,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
ultima,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
world,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft."", 'Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'Larry does not ""match real world situations"" but it is still a simulation.', 'Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']",4
warcraft,"[""Famous RPGs include, Baldour\\\\\\'s Gate, Fable, Might and Magic, Neverwinter Nights, Ultima, and World of Warcraft.""]",1
the primary game,['Simulation: The primary game play element of a simulation is its ability to match real world situations.'],1
element,"['Simulation: The primary game play element of a simulation is its ability to match real world situations.', 'A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",2
its ability,['Simulation: The primary game play element of a simulation is its ability to match real world situations.'],1
enjoyment,['Simulations seek to provide enjoyment through reenactment.'],1
reenactment,['Simulations seek to provide enjoyment through reenactment.'],1
leisure suit,"['Simulations may also include social situation simulation such as Sims and  Leisure Suit', ' 1 OK, so Leisure Suit']",2
larry1,"['Larry1.', 'Larry does not ""match real world situations"" but it is still a simulation.']",2
major game,['Major games include Gran Tourismo and the Tycoon games.'],1
gran tourismo,['Major games include Gran Tourismo and the Tycoon games.'],1
the tycoon game,['Major games include Gran Tourismo and the Tycoon games.'],1
strategy game,"['Strategy: Strategy games entertain through reasoning and problem solving.', 'Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.', 'Games such as Command and Conquer are examples of story based strategy games.']",3
e.g. civilization,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
much storytelling,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
more recent game,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
quality narrative,"['Early strategy games (e.g. Civilization) did not use much storytelling, although more recent games rely heavily on quality narrative.']",1
command,['Games such as Command and Conquer are examples of story based strategy games.'],1
conquer,['Games such as Command and Conquer are examples of story based strategy games.'],1
example,"['Games such as Command and Conquer are examples of story based strategy games.', 'For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama', 'There could be, for example, a game genre for romance or history, but these are not listed here.', 'The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",4
the way,['Game Genre Game genre describes the way the story is told.'],1
the story,"['Game Genre Game genre describes the way the story is told.', 'A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",2
a genre,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
a narrative style,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
the structure,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
the depth,"['A genre is a narrative style that effects the structure of the story, the depth of character, and other storytelling elements.']",1
the experience,"['This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",1
an object,"['This is also true of spaceship simulations or games that simulate the experience of piloting, organizing, or being an object that may have no real world equivalent.']",1
lindsay grace \\\'\,"['Lindsay Grace \\\\\\\'\\\', ""b\\\'The following is a list of game genres.']",1
a list,"['Lindsay Grace \\\\\\\'\\\', ""b\\\'The following is a list of game genres.']",1
the genre,"[""The genre\\'s roughly translate to the genres of film and television.""]",1
film,"[""The genre\\'s roughly translate to the genres of film and television.""]",1
television,"[""The genre\\'s roughly translate to the genres of film and television.""]",1
anyone,['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama'],1
pop culture,['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama'],1
they,"['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama', 'Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']",2
an explanation,['For anyone roughly familiar with pop culture they should not require an explanation: Genre Example Drama'],1
max payne,['Max Payne'],1
crime grand theft auto fantasy kingdom hearts,"['Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil  Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
half life war,"['Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil  Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
ninja gaiden,"['Crime Grand Theft Auto Fantasy Kingdom Hearts, Fable Horror Resident Evil  Mystery Indigo Prophecy Science Fiction Doom, Half Life War and Espionage Metal Gear Solid, Ghost Recon Western / Eastern / Frontier Red Dead Revolver, Ninja Gaiden']",1
a comprehensive list,['This is not a comprehensive list.'],1
romance,"['There could be, for example, a game genre for romance or history, but these are not listed here.']",1
few modern game,"['Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.', 'Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.']",2
a single category,['Multiple Game Types and Game Genres Combined: It is important to realize that few modern games fall neatly into a single category of game type and game genre.'],1
a thoroughly entertaining collection,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
game mechanic,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
convention,['Modern games take the best of all worlds and incorporate them into a thoroughly entertaining collection of game mechanics and storytelling conventions.'],1
the grand theft auto series,"['The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",1
"a crime , fantasy genre","['The Grand Theft Auto series, for example, could be described as having a crime, fantasy genre and an action, role-playing game type.']",1
view publication,"[""View publication stats 2005 Lindsay Grace '""]",1
2005 lindsay grace,"[""View publication stats 2005 Lindsay Grace '""]",1
