Genre_00_nouns.csv
Unique nouns: 131, Total nouns: 276
Total time: Uncomputed,Cost per noun: Uncomputed
catalyst,"['\n\nGames are a powerful catalyst in driving personal progress, stimulation and development of cognitive ability.']",1
progress,"['\n\nGames are a powerful catalyst in driving personal progress, stimulation and development of cognitive ability.']",1
stimulation,"['\n\nGames are a powerful catalyst in driving personal progress, stimulation and development of cognitive ability.']",1
ability,"['\n\nGames are a powerful catalyst in driving personal progress, stimulation and development of cognitive ability.']",1
influence,"['Games are fast becoming one of the major influences in organizations in the reshaping of business designs, and training.']",1
organization,"['Games are fast becoming one of the major influences in organizations in the reshaping of business designs, and training.']",1
reshaping,"['Games are fast becoming one of the major influences in organizations in the reshaping of business designs, and training.']",1
business,"['Games are fast becoming one of the major influences in organizations in the reshaping of business designs, and training.', 'This drives the shift in thinking from functional and transactional business design, towards the embrace of a more human-centered approach.', '\n\nExamples of simulation games are:\n\nBusiness: Simulations allow for systems and business models to be experienced.', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",6
design,"['Games are fast becoming one of the major influences in organizations in the reshaping of business designs, and training.', 'This drives the shift in thinking from functional and transactional business design, towards the embrace of a more human-centered approach.']",2
training,"['Games are fast becoming one of the major influences in organizations in the reshaping of business designs, and training.']",1
shift,"['This drives the shift in thinking from functional and transactional business design, towards the embrace of a more human-centered approach.']",1
embrace,"['This drives the shift in thinking from functional and transactional business design, towards the embrace of a more human-centered approach.']",1
approach,"['This drives the shift in thinking from functional and transactional business design, towards the embrace of a more human-centered approach.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",2
number,"['For a number of years, I have designed games for organizational learning and development initiatives.']",1
year,"['For a number of years, I have designed games for organizational learning and development initiatives.']",1
initiative,"['For a number of years, I have designed games for organizational learning and development initiatives.']",1
framework,['I have used a simple framework of 5 game types which each drive different learning outcomes.'],1
outcome,"['I have used a simple framework of 5 game types which each drive different learning outcomes.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
teamwork,"['These can be applied in learning, teamwork, and promoting different thinking perspectives.']",1
thinking,"['These can be applied in learning, teamwork, and promoting different thinking perspectives.', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",3
perspective,"['These can be applied in learning, teamwork, and promoting different thinking perspectives.', '\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",3
simulation,"['These 5 game types are simulation, adventure, role-play, strategy, and quiz.', 'Game simulations usually simplify and provide immersive experience for players.', '\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', '\n\nExamples of simulation games are:\n\nBusiness: Simulations allow for systems and business models to be experienced.']",5
adventure,"['These 5 game types are simulation, adventure, role-play, strategy, and quiz.', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)']",2
role,"['These 5 game types are simulation, adventure, role-play, strategy, and quiz.', 'In role-play games, players assume a particular role and interact with other characters.', 'Role-play games allow for scenario-based concepts with certain behaviours to be demonstrated and decisions to be made.', 'In the virtual world Role Play Games (RPG) are the foundation of the PC game, and with increased technology these have become more sophisticated.', 'Role-play games seek to achieve:', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",7
play,"['These 5 game types are simulation, adventure, role-play, strategy, and quiz.', 'In role-play games, players assume a particular role and interact with other characters.', 'Role-play games allow for scenario-based concepts with certain behaviours to be demonstrated and decisions to be made.', 'In the virtual world Role Play Games (RPG) are the foundation of the PC game, and with increased technology these have become more sophisticated.', 'Role-play games seek to achieve:', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",6
strategy,"['These 5 game types are simulation, adventure, role-play, strategy, and quiz.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",4
quiz,"['These 5 game types are simulation, adventure, role-play, strategy, and quiz.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.', 'Quizzes can also be used to test improvement in knowledge and provide group competition.', '\n\nQuiz games seek to achieve:\n\nTesting of knowledge and content\n\nExamples of quiz games are:\n\nEntertainment: Quizup, Trivial Pursuit']",5
world,"['These are games which closely simulate the real world with scenarios and a decision architecture, to explore the key elements of a situation.', 'In the virtual world Role Play Games (RPG) are the foundation of the PC game, and with increased technology these have become more sophisticated.']",2
scenario,"['These are games which closely simulate the real world with scenarios and a decision architecture, to explore the key elements of a situation.', 'Role-play games allow for scenario-based concepts with certain behaviours to be demonstrated and decisions to be made.']",2
decision,"['These are games which closely simulate the real world with scenarios and a decision architecture, to explore the key elements of a situation.', 'Role-play games allow for scenario-based concepts with certain behaviours to be demonstrated and decisions to be made.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', ""Players' decisions are uncoerced and a game can be won based on decisions made."", '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",6
architecture,"['These are games which closely simulate the real world with scenarios and a decision architecture, to explore the key elements of a situation.']",1
element,"['These are games which closely simulate the real world with scenarios and a decision architecture, to explore the key elements of a situation.']",1
situation,"['These are games which closely simulate the real world with scenarios and a decision architecture, to explore the key elements of a situation.']",1
experience,"['Game simulations usually simplify and provide immersive experience for players.', '\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', '\n\nCan break the ice and be used to create a group identity through shared experience.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",5
player,"['Game simulations usually simplify and provide immersive experience for players.', '\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Flight Simulators\n\nAdventure games are set-up as a single player format (*protagonist) in an interactive story with a series of puzzles and problem-solving tasks.', 'Players usually unlock the game piece by piece.', 'In role-play games, players assume a particular role and interact with other characters.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', ""Players' decisions are uncoerced and a game can be won based on decisions made.""]",7
exploration,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
issue,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
model,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', '\n\nExamples of simulation games are:\n\nBusiness: Simulations allow for systems and business models to be experienced.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",3
communication,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
team,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",3
dynamic,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",3
conflict,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
handling,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
behaviour,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Role-play games allow for scenario-based concepts with certain behaviours to be demonstrated and decisions to be made.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",3
modelling,"['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.']",2
practice,['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.'],1
environment,['\n\nSimulation games seek to achieve:\n\nExploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication and development of team dynamics and conflict handling\n\nBehaviour modelling and allows players to appreciate realistic experiences while gathering experience and practice in a safe environment.'],1
allow,['\n\nAllows for various disciplines and social sciences'],1
discipline,['\n\nAllows for various disciplines and social sciences'],1
science,['\n\nAllows for various disciplines and social sciences'],1
skill,"['to be combined for learning and development of skill sets.', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.']",7
set,['to be combined for learning and development of skill sets.'],1
ice,['\n\nCan break the ice and be used to create a group identity through shared experience.'],1
group,"['\n\nCan break the ice and be used to create a group identity through shared experience.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.', 'Quizzes can also be used to test improvement in knowledge and provide group competition.']",3
identity,['\n\nCan break the ice and be used to create a group identity through shared experience.'],1
example,"['\n\nExamples of simulation games are:\n\nBusiness: Simulations allow for systems and business models to be experienced.', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)', 'Exploration of new issues from a different perspective and to create new mental models\n\nDevelopment of communication\n\nDevelopment of team dynamics and conflict handling\n\nInteraction and understanding of human dynamics\n\nBehaviour modelling\n\nExamples of role-play games are:\n\nSales skills\n\nCustomer service skills\n\nIn strategy games, players participate in the management of resources and units, with a decision-making tree which can influence the outcome of the game.', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.', '\n\nQuiz games seek to achieve:\n\nTesting of knowledge and content\n\nExamples of quiz games are:\n\nEntertainment: Quizup, Trivial Pursuit']",5
system,['\n\nExamples of simulation games are:\n\nBusiness: Simulations allow for systems and business models to be experienced.'],1
entertainment,"['Entertainment: The Sims\n\nTechnical:', '\n\nAdventure games seek to achieve:\n\nDevelopment of reasoning and problem-solving skills\n\nDevelopment of lateral and cognitive thinking skills\n\nApplication of extrinsic knowledge to solve problems and puzzles\n\nExamples of adventure games are:\n\nBusiness: Amazing Race\n\nEntertainment: Escape Room, video games (excluding action)', '\n\nStrategy games seek to achieve:\n\nImprovement in planning and organizing skills\n\nExperience and skills acquisition through discussion and trying out new approaches\n\nDevelopment of decision-making and tactics\n\nAwareness of individual and group thinking in a team\n\nExamples of strategy games are:\n\nEntertainment and Business: Risk, Chess, and War Games\n\nIn quiz games, a series of questions and puzzles are set up to test knowledge and skill.', '\n\nQuiz games seek to achieve:\n\nTesting of knowledge and content\n\nExamples of quiz games are:\n\nEntertainment: Quizup, Trivial Pursuit']",4
sim,['Entertainment: The Sims\n\nTechnical:'],1
technical,['Entertainment: The Sims\n\nTechnical:'],1
