Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
character,"['(ex: Super Metroid , Castlevania: Symphony of the Night )\n\nStealth-Based Game : A game in which the player character must hide and sneak through the level while avoiding notice from much more powerful enemies that the player character cannot take head-on.', 'Leaping and climbing between platforms of varying heights and over or onto enemy characters forms a large part of the gameplay.', ""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies."", ""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe."", 'First-Person Shooter (FPS): A 3D shooter in which the perspective is through the eyes of the player character, and the action revolves around shooting.', '(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.', 'A First or Third-Person Shooter in which each character has different abilities and weapons.', ""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills."", '(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', ""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance."", 'Colorful characters use colorful weapons in their races.', '(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.', 'Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.', '(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.', '(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.', ""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game."", ""Farm Life Sim : A sub-genre of life simulations focused on the overall life of a farmer, including not only the farming but also their relationships with others (ex: Story of Seasons , Rune Factory , Stardew Valley )\n\nRaising Sim : A game in which schedules for a game to process are applied, which in turn affects characters in the game, who then develop 'on their own' without constant user interference."", ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",20
level,"['(ex: Super Metroid , Castlevania: Symphony of the Night )\n\nStealth-Based Game : A game in which the player character must hide and sneak through the level while avoiding notice from much more powerful enemies that the player character cannot take head-on.', '(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.', '(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.', ""A shoot'em up that has a horizontal Auto-Scrolling Level , that is, to the left or right."", ""A shoot'em up that has a vertical Auto Scrolling Level, that is, up or down."", '(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.', '\n\nMusic Player Game : A game in which the levels are procedurally generated from the music you feed it, typically the more intensive and loud the music, the more action you are going to see.', ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",8
notice,"['(ex: Super Metroid , Castlevania: Symphony of the Night )\n\nStealth-Based Game : A game in which the player character must hide and sneak through the level while avoiding notice from much more powerful enemies that the player character cannot take head-on.']",1
enemy,"['(ex: Super Metroid , Castlevania: Symphony of the Night )\n\nStealth-Based Game : A game in which the player character must hide and sneak through the level while avoiding notice from much more powerful enemies that the player character cannot take head-on.', 'Leaping and climbing between platforms of varying heights and over or onto enemy characters forms a large part of the gameplay.', '(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.', ""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies."", 'Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.', '(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.', ""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills."", ""Cute 'em Up : A shoot'em up that casts the enemies as cute things such as kittens, candy, fairies, and so on."", '(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.']",9
head,"['(ex: Super Metroid , Castlevania: Symphony of the Night )\n\nStealth-Based Game : A game in which the player character must hide and sneak through the level while avoiding notice from much more powerful enemies that the player character cannot take head-on.', '(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.']",2
metal,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.', ""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies."", '(ex: Twisted Metal )\n\nEscort Game : A game about escorting someone or something.']",3
gear,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.', '(ex: Gears of War , Splatoon )\n\nHero Shooter :', 'A First or Third-Person Shooter incorporating RPG Elements , namely, the acquisition of better gear by finding it in the world.']",3
solid,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.']",1
splinter,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.']",1
cell,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.']",1
tenchu,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.']",1
survival,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.', '(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).']",2
sandbox,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.', '\n\nWide-Open Sandbox : When the massive open world and optional material outweigh the actual, goal-oriented game play.']",2
objective,"['(ex: Metal Gear Solid , Splinter Cell , Tenchu )\n\nSurvival Sandbox : A game where the primary objective is to survive for as long as possible in a hostile, often open-ended environment.']",1
minecraft,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).']",1
horror,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).', '(ex: Gone Home )\n\nExplorer Horror : Horror games that revolve around exploring grim locations and collecting objects, with minimalist storytelling.', '\n\nHorror Video Games : A game that exploits the fears of players to cause anxiety, fear, and ultimately thrills.']",5
protagonist(s,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).']",1
atmosphere,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).']",1
convention,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).']",1
need,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).', 'Buying the game will allow the player to play it to completion, instantly picking up exactly where they left off upon purchase without the need to install anything.']",2
management,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).', 'Time Management Game : A game that requires the player to accomplish tasks as fast as possible.', '(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', '(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.']",5
resource,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).', '(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', '(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.', '(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.']",4
ammo,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).']",1
health,"['(ex: Minecraft )\n\nSurvival Horror : A game that features overwhelmed protagonist(s), oppressive atmosphere based on Horror conventions and a need for careful management of resources (ammo, health, etc.).']",1
resident,"['(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.']",1
evil,"['(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.']",1
challenge,"['(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.', '(ex: The Walking Dead )\n\nEnvironmental Narrative Game : A story-driven adventure game which emphasizes narrative and exploring a physical location, with very little in the way of interactivity or gameplay challenge.', '(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.']",3
obstacle,"['(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.', '(ex: Wii Sports )\n\nEndless Running Game : A game about enduring an endless sequence of obstacles as long as possible.']",2
crossing,"['(ex: the first three Resident Evil )\n\nAction Game : A game that is primarily about physical challenges, such as combat and obstacle crossing.', '(ex: The Sims , Animal Crossing )']",2
asura,"[""(ex: Asura's Wrath )\n\nPlatform Game (Platformer): A game in which jumping is an important action for navigating the environment.""]",1
wrath,"[""(ex: Asura's Wrath )\n\nPlatform Game (Platformer): A game in which jumping is an important action for navigating the environment.""]",1
platformer,"[""(ex: Asura's Wrath )\n\nPlatform Game (Platformer): A game in which jumping is an important action for navigating the environment."", '(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.', '(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.', '(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.', ""A platformer that borrows elements from the Shoot 'em Up genre.""]",5
leaping,['Leaping and climbing between platforms of varying heights and over or onto enemy characters forms a large part of the gameplay.'],1
height,"['Leaping and climbing between platforms of varying heights and over or onto enemy characters forms a large part of the gameplay.', ""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth.""]",2
mario,"['(ex: Super Mario Bros. )\n\nCinematic Platform Game :', '(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.', '(ex: LittleBigPlanet , Super Mario Maker )\n\n.io', '(ex: Mario Party )\n\nMon Game : A game that allows the player to befriend or capture various creatures to fight on their behalf.']",4
bros.,"['(ex: Super Mario Bros. )\n\nCinematic Platform Game :', '(ex: Super Smash Bros. )\n\nPlatform Fighter :', '(ex: Super Smash Bros. )\n\nBoss Game :']",3
cinematic,['(ex: Super Mario Bros. )\n\nCinematic Platform Game :'],1
prince,['(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.'],1
persia,['(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.'],1
collect,['(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.'],1
a,"['(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.', '\n\nMassive Multiplayer Crossover : A Crossover with at least three different continuities.']",2
thon,['(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.'],1
number,"['(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.', 'A multiplayer mode in which players (often a very large number of them) eliminate each other until only one remains.', 'Other categoriesÂ\xa0\n\nThere are also a number of particularly distinctive ways a game can be marketed or categorized.']",3
pickup,['(ex: Prince of Persia )\n\nCollect-A-Thon Platformer : A Platform Game set in relatively open levels where collecting a certain number of pickups is necessary to progress further into the game.'],1
banjo,['(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.'],1
kazooie,['(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.'],1
elimination,['(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.'],1
concept,"['(ex: Banjo-Kazooie )\n\nElimination Platformer : A game that requires players to use the concept of jumping from one platform to another to clear the entire level of enemies.', '\n\nScience Fiction Video Games : A game that explores a concept that does not exist at the present time, but it someday might.']",2
bubble,['(ex: Bubble Bobble )'],1
bobble,['(ex: Bubble Bobble )'],1
hell,"['Platform Hell : A Platform Game with intentionally cranked up and unfair difficulty, usually for comedic value.', ""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills.""]",2
difficulty,"['Platform Hell : A Platform Game with intentionally cranked up and unfair difficulty, usually for comedic value.']",1
value,"['Platform Hell : A Platform Game with intentionally cranked up and unfair difficulty, usually for comedic value.']",1
wanna,"['(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.']",1
guy,"['(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.']",1
meat,"['(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.']",1
boy,"['(ex: I Wanna Be the Guy , Super Meat Boy )\n\nPuzzle Platformer : A game that combines parts from Platform Games and Puzzle Games together.']",1
portal,['(ex: Portal )\n\nRun-and-Gun :'],1
gun,"['(ex: Portal )\n\nRun-and-Gun :', '(ex: Devil May Cry )\n\nShooter : A game in which the gameplay revolves around shooting with guns and other ranged weapons.', '(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.', '(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.']",5
shoot,"[""A platformer that borrows elements from the Shoot 'em Up genre.""]",1
contra,"[""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies.""]",1
slug,"[""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies.""]",1
sub,"[""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies."", 'Either a sub-genre of the Role-playing Game or a genre modifier, depending on who you ask.', 'Sub-genre of a Strategy Game.']",3
punch,"[""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies.""]",1
kick,"[""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies.""]",1
horde,"[""(ex: Contra , Metal Slug )\n\nBeat 'em Up : A Sub-genre of Action Game with the player character fighting primarily with punches and kicks against large hordes of relatively weaker enemies.""]",1
street,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe."", '(ex: Street Fighter , Tekken )\n\nMascot Fighter : Ultimate Showdown Of Ultimate Destiny is heavily featured.']",2
rage,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
final,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe."", '(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.']",2
fight,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
hack,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
slash,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
range,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
melee,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
weaponry,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
sword,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
axe,"[""(ex: Streets of Rage , Final Fight )\n\nHack and Slash : A Beat 'em Up where the player character primarily wields close range melee weaponry, like a sword or axe.""]",1
dynasty,['(ex: Dynasty Warriors )'],1
warrior,"['(ex: Dynasty Warriors )', '\n\nMilitary and Warfare Video Games : A game that revolves around soldiers or warriors fighting in a military conflict.']",2
stylish,"['Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.']",1
spectacle,"['Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.']",1
mechanic,"['Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.', '(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.']",2
performance,"['Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.']",1
criterion,"['Stylish Action : A game that allows the player to create spectacle through its mechanics, where their performance in fighting enemies gets graded under certain criteria and then rewarded accordingly.']",1
devil,['(ex: Devil May Cry )\n\nShooter : A game in which the gameplay revolves around shooting with guns and other ranged weapons.'],1
shooter,"['(ex: Devil May Cry )\n\nShooter : A game in which the gameplay revolves around shooting with guns and other ranged weapons.', 'First-Person Shooter (FPS): A 3D shooter in which the perspective is through the eyes of the player character, and the action revolves around shooting.', '(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.', '(ex: Gears of War , Splatoon )\n\nHero Shooter :', 'A First or Third-Person Shooter in which each character has different abilities and weapons.', '(ex: Duck Hunt )\n\nLooter Shooter :', 'A First or Third-Person Shooter incorporating RPG Elements , namely, the acquisition of better gear by finding it in the world.', '(ex: Borderlands , Escape from Tarkov )\n\nRail Shooter :', '(Shmups): A fixed-scrolling shooter that is not three-dimensional.', 'Horizontal Scrolling Shooter :', 'Vertical Scrolling Shooter :', '(ex: Raiden )\n\nTactical Shooter : An FPS or TPS that simulates realistic combat, encouraging use of real-life combat tactics.']",14
weapon,"['(ex: Devil May Cry )\n\nShooter : A game in which the gameplay revolves around shooting with guns and other ranged weapons.', '(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.', 'A First or Third-Person Shooter in which each character has different abilities and weapons.', 'Colorful characters use colorful weapons in their races.']",4
person,"['First-Person Shooter (FPS): A 3D shooter in which the perspective is through the eyes of the player character, and the action revolves around shooting.', '(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.', 'A First or Third-Person Shooter in which each character has different abilities and weapons.', 'A First or Third-Person Shooter incorporating RPG Elements , namely, the acquisition of better gear by finding it in the world.', 'Also known by other labels including ""walking simulator"", ""story exploration game"", ""first-person adventure"" and ""interactive stories"".']",5
fps,"['First-Person Shooter (FPS): A 3D shooter in which the perspective is through the eyes of the player character, and the action revolves around shooting.', '(ex: Raiden )\n\nTactical Shooter : An FPS or TPS that simulates realistic combat, encouraging use of real-life combat tactics.']",2
perspective,"['First-Person Shooter (FPS): A 3D shooter in which the perspective is through the eyes of the player character, and the action revolves around shooting.', '\n\nSide View : A perspective that views all objects from the side and nowhere else.', ""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth."", '\n\nTop-Down View : A perspective that views all objects straight and nowhere else.']",5
eye,"['First-Person Shooter (FPS): A 3D shooter in which the perspective is through the eyes of the player character, and the action revolves around shooting.', ""\n\nThree Quarters View : A perspective that is a tilted bird's eye view perspective in which both the top and front of an object is seen at the same time, and the vertical axis indicates both height and depth.""]",2
doom,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.']",1
call,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.']",1
duty,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.']",1
halo,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.']",1
tps,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.', '(ex: Raiden )\n\nTactical Shooter : An FPS or TPS that simulates realistic combat, encouraging use of real-life combat tactics.']",2
camera,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.']",1
shoulder,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.']",1
use,"['(ex: Doom , Call of Duty , Halo )\n\nThird-Person Shooter (TPS): A 3D shooter that has the camera looking behind the player character or over their shoulder, and involves the use of guns and similar weapons.', '(ex: Raiden )\n\nTactical Shooter : An FPS or TPS that simulates realistic combat, encouraging use of real-life combat tactics.', '(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.', ""\n\nVirtual Reality : A game that makes use of a headset display to make the player feel as though they are physically present in the game's setting.""]",4
splatoon,"['(ex: Gears of War , Splatoon )\n\nHero Shooter :']",1
hero,"['(ex: Gears of War , Splatoon )\n\nHero Shooter :', '(ex: beatmania , Guitar Hero )\n\nRising Up The Food Chain Game : A game in which the player must eat creatures smaller than himself and become bigger, which allows him to eat more creatures.', '(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.']",3
ability,"['A First or Third-Person Shooter in which each character has different abilities and weapons.', 'Allegedly Free Game : A game that you can play for free, but you will have to pay money to access other game areas or get particular abilities and items.']",2
team,"['(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.', '(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', 'A multiplayer mode in which players compete against each other as players or teams.', 'A multiplayer mode in the main game in which every player is on the same team and playing against the computer.']",4
fortress,"['(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.']",1
overwatch,"['(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.']",1
light,"['(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.']",1
device,"['(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.', 'A game that deconstructs a common gameplay element or plot device.']",2
screen,"['(ex: Team Fortress 2 , Overwatch )\n\nLight Gun Game : A game in which the player has a pointing device that resembles a gun and points it at the screen to shoot on-screen enemies.', ""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills."", ""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them."", 'Breaking Out : A game in which a paddle at the bottom of the screen bounces a ball to destroy blocks, and missing the ball results in the player losing a life.', ""Falling Blocks : A game in which blocks fall from the top of the screen, requiring the player to move and flip them so that they'll be arranged in a way to make them disappear, and if the blocks reach the top of the screen then the game ends.""]",7
duck,['(ex: Duck Hunt )\n\nLooter Shooter :'],1
hunt,['(ex: Duck Hunt )\n\nLooter Shooter :'],1
looter,['(ex: Duck Hunt )\n\nLooter Shooter :'],1
