Genres_01_nouns.csv
Unique nouns: 255, Total nouns: 609
Total time: Uncomputed,Cost per noun: Uncomputed
focus,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.']",1
section,"['Game Genres\n\nMegan Kelly\n\nGenre is a style or category of something, for example, movie genres, tv genres, the focus of this section is game genres.']",1
action,"['Some examples of game genres would include ""action"", ""adventure"" ""simulation"" and ""shooter"".', 'Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', 'They are ""resource"", ""mini-game"", ""adventure"", ""action"" and ""role-playing"".']",3
adventure,"['Some examples of game genres would include ""action"", ""adventure"" ""simulation"" and ""shooter"".', 'Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', '"" They discovered that males tend to prefer role-playing games, adventure games and sports games (along with others).', 'They are ""resource"", ""mini-game"", ""adventure"", ""action"" and ""role-playing"".']",4
simulation,"['Some examples of game genres would include ""action"", ""adventure"" ""simulation"" and ""shooter"".', 'When it came to the simulation genre it was preferred by both men and women.']",2
topic,"[""The topic of Genre is very big and there's a lot involved in it."", 'As this has only become more of a problem in recent years, more research needs to be done on the topic.', 'There is also so much more out there to look into about all of these topics.']",3
lot,"[""The topic of Genre is very big and there's a lot involved in it."", 'There are a lot of problems that occur due to different game genres.', 'The games that fall into the problematic genres tend to be very addictive as when playing the games a lot of dopamine is released when playing games.', 'Out of all the genres MMORPG games are being more popular and a lot more addictive.', 'There are so many genres and yet a lot of games will fall into the categories of having multiple genres attached.']",5
problem,"['There are a lot of problems that occur due to different game genres.', 'An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', '\n\nProblems with specific game genres', 'Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', 'As this has only become more of a problem in recent years, more research needs to be done on the topic.', 'Different papers suggest many ways to fix these problems, these include having developed a new way of putting games into new and improved genre categories.', 'There are also different problems with grouping genres together as they were made so long ago.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.', '57-68\n\nElliott, L., Golub, A., Ream, G. & Dunlap, E. (2012) Â\xa0Video Game Genre as a Predictor of Problem Use.']",9
introduction,"['An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.', 'An Introduction to Videogame Genre Theory.']",3
personalities,"['An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.']",1
gender,"['An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', '\n\nPersonalities and Gender genre preferences\n\nResearch has shown a preference to particular game genres based on personality and gender. ""', 'Then, when it comes to gender it is said males are most likely to have a higher gaming time due to their genre preferences.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.', 'Video Game Playing in the General Adult Population of Germany: Can Higher Gaming Time of Males be Explained by Gender-Specific Genre Preferences?']",6
preference,"['An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', '\n\nPersonalities and Gender genre preferences\n\nResearch has shown a preference to particular game genres based on personality and gender. ""', 'Thus, it could be assumed that being male and being younger goes along with the preference for certain game genres, which themselves are more time consuming and demanding and thus can explain the higher gaming time.""', 'Then, when it comes to gender it is said males are most likely to have a higher gaming time due to their genre preferences.', 'According to Rehbein, F., Staudt, A., Hanslmaier, M. & Kliem, S. (2016) ""The higher gaming time of men is fully accounted for by the male-specific preference for certain game genres.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.', 'Â\xa0Exploring how Preference and Perceived Performance Vary in Different Game Genres Across Time of Day.']",8
difficulty,"['An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', '\n\nDifficulties with genre groupings', 'There are also some difficulties when it comes to grouping games into genres.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.']",4
chapter,"['An introduction to Genre, Problems with specific game genres, Personalities and Gender preferences, and Difficulties grouping game genres will be discussed in this chapter.', 'It is clear from the findings in this chapter that genres have a bigger impact on people than people would think.', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.']",3
figure,['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.'],1
video,"['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.', '""The existing common video game genres lack clarity as well as consistency"" (Heintz, S. & Law, E.L. 2015).', ""Video games aren't clearly defined in these genres and there is no set relation or because there is no set relation."", '57-68\n\nElliott, L., Golub, A., Ream, G. & Dunlap, E. (2012) Â\xa0Video Game Genre as a Predictor of Problem Use.', 'Proceedings of the 2007 ACM SIGGRAPH Symposium on Video Games.', '\n\nMackinnon, S. (2019) Â\xa0Video Games by Year and Genre:', 'Â\xa0Personality & Video Game Genre Preferences.', ""An Operational Study of Video Games' Genres."", 'Video Game Playing in the General Adult Population of Germany: Can Higher Gaming Time of Males be Explained by Gender-Specific Genre Preferences?']",9
games,"['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.', 'Proceedings of the 2007 ACM SIGGRAPH Symposium on Video Games.', '\n\nMackinnon, S. (2019) Â\xa0Video Games by Year and Genre:', ""An Operational Study of Video Games' Genres.""]",4
year,"['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.', 'Qaffas (2020) states out of all the popular games in the last 34 years there are only 16 genres that sit in the top spots.', 'As this has only become more of a problem in recent years, more research needs to be done on the topic.', '\n\nMackinnon, S. (2019) Â\xa0Video Games by Year and Genre:', 'Â\xa0Author\n\nMegan Kelly is a second-year student studying Creative Digital Media at the Technological University Dublin.', 'Megan is 22 years old and is from a small village in County Roscommon.']",6
â€,['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.'],1
image,"['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.', '1980-2016 [image] https://osf.io/q9hx6/']",2
source,['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.'],1
order,['\n\nFigure 1: Video Games by Year and Genre â€“ Image Source\n\nGame Genres are what we give to different games in order to group them together.'],1
mechanic,"['Games with the same mechanics and the same styles of gameplay would be put into one genre.', 'You could end up with two very different games beside each other but due to having similar mechanics, they would fall under the same genre.']",2
gameplay,['Games with the same mechanics and the same styles of gameplay would be put into one genre.'],1
consumer,['It is mostly to categorize them for the consumer to know what they like and will buy similar games.'],1
type,"['""The game genre is ""a recurring type or category of text [...] defined by structural, thematic and /or functional criteria"".', '(Rehbein, F., Staudt, A., Hanslmaier, M. & Kliem, S. (2016).Â\xa0 Peever, N., Johnson, D. & Gardner, J. (2012) Â\xa0said that there are different personality types and each is more likely to like a certain type of genre.', 'For example, people with the personality type ""extraversion"" tend to prefer party, music and casual games', 'Another suggestion was to use a type of map to group games so if they fall under different categories they go in certain spots of the map.']",5
text,"['""The game genre is ""a recurring type or category of text [...] defined by structural, thematic and /or functional criteria"".']",1
criterion,"['""The game genre is ""a recurring type or category of text [...] defined by structural, thematic and /or functional criteria"".']",1
cäƒè,"['(CÄƒÈ™vean, 2018).']",1
™,"['(CÄƒÈ™vean, 2018).', 'Bibliography\n\nCÄƒÈ™vean, T. (2018)']",2
vean,"['(CÄƒÈ™vean, 2018).', 'Bibliography\n\nCÄƒÈ™vean, T. (2018)']",2
qaffas,"['Qaffas (2020) states out of all the popular games in the last 34 years there are only 16 genres that sit in the top spots.', '\n\nQaffas, A.A. (2020)']",2
spot,"['Qaffas (2020) states out of all the popular games in the last 34 years there are only 16 genres that sit in the top spots.', 'Another suggestion was to use a type of map to group games so if they fall under different categories they go in certain spots of the map.']",2
â,"['Â', '(Rehbein, F., Staudt, A., Hanslmaier, M. & Kliem, S. (2016).Â\xa0 Peever, N., Johnson, D. & Gardner, J. (2012) Â\xa0said that there are different personality types and each is more likely to like a certain type of genre.', '""For extraversion, there was a significant overall effect of genre, with party, Â\xa0music and casual games significantly positively related to extraversion scores.""', 'In this chapter,Â\xa0we discussed difficulties with genre groupings, personalities and gender genre preferences, problems with specific game genres and a short introduction into the world of genres.', '57-68\n\nElliott, L., Golub, A., Ream, G. & Dunlap, E. (2012) Â\xa0Video Game Genre as a Predictor of Problem Use.', 'Heintz, S. & Law, E.L. (2015) Â', 'Â\xa0Exploring how Preference and Perceived Performance Vary in Different Game Genres Across Time of Day.', 'Â\xa0Mapping the Mental Space of Game Genres.', '\n\nMackinnon, S. (2019) Â\xa0Video Games by Year and Genre:', 'Â\xa0Personality & Video Game Genre Preferences.', 'Â\xa0Author\n\nMegan Kelly is a second-year student studying Creative Digital Media at the Technological University Dublin.']",14
platform,"['Some examples of these genres would be ""shooter"", ""platform"" and ""puzzle.""']",1
puzzle,"['Some examples of these genres would be ""shooter"", ""platform"" and ""puzzle.""']",1
one,"['Although genres make it easier to find similar games to the ones you like, there are some genres that have problematic characteristics attached to them.']",1
characteristic,"['Although genres make it easier to find similar games to the ones you like, there are some genres that have problematic characteristics attached to them.']",1
person,"['Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', 'Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.']",2
shooter,"['Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.']",1
role,"['Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', '"" They discovered that males tend to prefer role-playing games, adventure games and sports games (along with others).', 'They are ""resource"", ""mini-game"", ""adventure"", ""action"" and ""role-playing"".']",3
playing,"['Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', 'They are ""resource"", ""mini-game"", ""adventure"", ""action"" and ""role-playing"".']",2
gambling,"['Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.']",1
life,"['Such genres likeÂ\xa0 first-person shooter, action-adventure, role-playing and gambling games have led to real-life problems.', 'Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.']",2
dopamine,['The games that fall into the problematic genres tend to be very addictive as when playing the games a lot of dopamine is released when playing games.'],1
high,['It is very similar to the high you would get from drugs.'],1
drug,['It is very similar to the high you would get from drugs.'],1
mmorpg,"['Out of all the genres MMORPG games are being more popular and a lot more addictive.', '""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",2
internet,"['Along with being highly addictive,\n\nthis can cause internet gaming disorder.', 'Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.', '""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""', 'The Influence of Game Genre on Internet Gaming Disorder.']",5
gaming,"['Along with being highly addictive,\n\nthis can cause internet gaming disorder.', 'Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.', '""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""', 'Thus, it could be assumed that being male and being younger goes along with the preference for certain game genres, which themselves are more time consuming and demanding and thus can explain the higher gaming time.""', 'Then, when it comes to gender it is said males are most likely to have a higher gaming time due to their genre preferences.', 'According to Rehbein, F., Staudt, A., Hanslmaier, M. & Kliem, S. (2016) ""The higher gaming time of men is fully accounted for by the male-specific preference for certain game genres.', 'The Influence of Game Genre on Internet Gaming Disorder.', 'Video Game Playing in the General Adult Population of Germany: Can Higher Gaming Time of Males be Explained by Gender-Specific Genre Preferences?']",10
disorder,"['Along with being highly addictive,\n\nthis can cause internet gaming disorder.', 'Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.', '""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""', 'The Influence of Game Genre on Internet Gaming Disorder.']",5
control,['Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.'],1
habit,['Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.'],1
priority,['Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.'],1
thing,['Internet gaming disorder is when a person loses control over their gaming habits and puts the priority on playing games rather than other important things in their lives.'],1
result,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
test,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
presence,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
difference,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
status,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
distribution,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
group,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""', 'Another suggestion was to use a type of map to group games so if they fall under different categories they go in certain spots of the map.']",7
proportion,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
fps,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
rts,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""']",1
sport,"['""The results of the test indicated the presence of a significant difference in the internet gaming disorder status distribution of the four genre-specific groups, with the highest proportion of the internet gaming disorder group identified in the FPS game group, followed by the MMORPG group, the RTS game group, and the sports game group.""', '"" They discovered that males tend to prefer role-playing games, adventure games and sports games (along with others).']",2
e.,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', '57-68\n\nElliott, L., Golub, A., Ream, G. & Dunlap, E. (2012) Â\xa0Video Game Genre as a Predictor of Problem Use.', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",3
choi,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",2
i.,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",2
taek,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",2
ho,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",2
lee,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",4
h.,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",4
mi,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",2
j.r.,"['(Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim. 2017) .', 'Na, E., Choi, I., Taek-Ho Lee, Lee, H., Mi, J.R., Cho, H., Dong, J.J. & Dai-Jin Kim.']",2
