VideoGameGenres_10_nouns.csv
Unique nouns: 397, Total nouns: 779
Total time: Uncomputed,Cost per noun: Uncomputed
style,"['In addition to the different genres of video game, each game also adopts a particular play style.', 'The style of a game describes how it delivers its genre experience.', 'Understanding these styles of games can help you find experiences you like and are comfortable with.', 'Although these games were originally played in a split screen style , more recently they are played online via services such as PlayStation Network, Xbox Live and the Nintendo Wireless Connection.', 'Unlike the simple arena competitive multiplayer style games where players try to kill the most enemies, true co-operative games are designed to take a group of players through a campaign experience together.', 'Co-operative style experiences often offer a meta-game as a way for players to compare their performance while still contributing to the team effort.', 'Sporting, fighting and rhythm action games obviously rely on this style of delivery to work.', 'The campaign style of gameplay offers a connected series of challenges to play through.']",8
the different genres,"['In addition to the different genres of video game, each game also adopts a particular play style.']",1
video game,"['In addition to the different genres of video game, each game also adopts a particular play style.']",1
each game,"['In addition to the different genres of video game, each game also adopts a particular play style.']",1
a particular play style,"['In addition to the different genres of video game, each game also adopts a particular play style.']",1
experience,"['The style of a game describes how it delivers its genre experience.', 'Understanding these styles of games can help you find experiences you like and are comfortable with.', 'For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.', ""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.', 'Cooperative Multi-player : These types of game provide an experience that is played symaltaneously by multiple players.', 'Unlike the simple arena competitive multiplayer style games where players try to kill the most enemies, true co-operative games are designed to take a group of players through a campaign experience together.', 'Because of the imediacy of the experience and sheer volume of visual information the player is offered First Person games lend themselves to the shooting genre .', 'The FPS view enables players to immerse themselves in the experience and react quicker to events in the game.', 'Co-operative style experiences often offer a meta-game as a way for players to compare their performance while still contributing to the team effort.', 'Sometimes this complements a video game experience, but more often they simply exist as physical games in their own right.', 'These games range from Eye of Judgement that uses a camera to detect which cards a player has, to interactive play experience like EyePet.', 'This creates an experience that is more reaction than strategy based.', 'Some games such as Valkyria Chronicles PS3 and PSP provide a turn based strategy experience with real time elements - something that is becoming a popular compromise.', 'These types of game create a multiplayer experience where players all share the same screen space.', ""These types of game focus on one player's experience."", 'Single player games are able to focus on one experience of a scenario, so that it is usually a richer, more visceral game.', 'This is common in tactical experience such as strategy or adventure games as this enhances the sense of control and planning the player has.']",18
the style,['The style of a game describes how it delivers its genre experience.'],1
a game,['The style of a game describes how it delivers its genre experience.'],1
it,"['The style of a game describes how it delivers its genre experience.', 'Single player games are able to focus on one experience of a scenario, so that it is usually a richer, more visceral game.', 'Although popular for the PS2, Gamecube and Wii it is becoming less common in modern 360 and PS3 games which are less willing to sacrifice horsepower from the visuals to accomodate the extra players - they opt for an online multiplayer mode instead.']",3
its genre experience,['The style of a game describes how it delivers its genre experience.'],1
these styles,['Understanding these styles of games can help you find experiences you like and are comfortable with.'],1
games,"['Understanding these styles of games can help you find experiences you like and are comfortable with.', ""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", 'Dating : These types of games are essentially puzzles based around relationships, identity, love and sex.']",3
you,"['Understanding these styles of games can help you find experiences you like and are comfortable with.', 'For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.', ""You don't see the character themselves apart from their hands, gun or possibly feet as in Mirror's Edge."", 'This enables you to see the character you are controlling as well as their surrounds.']",6
experiences,"['Understanding these styles of games can help you find experiences you like and are comfortable with.', 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.']",2
input,"['For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.']",1
gaming,"['For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.', 'Video games that make use of these props look to encompass the strong board gaming tradition that pre-dates and often outsells video games - such as Settlers of Catan or Carcassone.']",2
more input,"['For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.']",1
the best gaming experiences,"['For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.']",1
us,"['For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.']",1
we,"['For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.']",2
the games,"['For more input on the best gaming experiences, you can join us as we highlight the games we enjoy.']",1
console,"['The Console section then provides one place for all our review and guides on your chosen hardware.', 'They take things a step further by providing points for achieving goals across different games so that players slowly build up a score for their performance on the console as a whole.', 'This enables two, three or four players to be involved in the game using just one console.']",3
section,"['The Console section then provides one place for all our review and guides on your chosen hardware.', 'This will involve sections where players have to work together to proceed - either from the sheer difficulty as in Halo 3 on 360 or by the design of levels such as LittleBigPlanet on PS3.']",2
place,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
review,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
guide,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
hardware,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
the console section,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
one place,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
all our review,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
guides,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
your chosen hardware,['The Console section then provides one place for all our review and guides on your chosen hardware.'],1
type,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", '\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.', 'Cooperative Multi-player : These types of game provide an experience that is played symaltaneously by multiple players.', 'Dating : These types of games are essentially puzzles based around relationships, identity, love and sex.', 'First Person : These types of game view the world from the eyes of the in-game character.', '\n\nMeta-game : These types of game provide another way to measure success.', 'These types of game use real world cards, props and boards.', '\n\nReal Time : These types of game are played without opportunity to stop and consider the next move.', 'These types of game create a multiplayer experience where players all share the same screen space.', ""These types of game focus on one player's experience."", 'Split-screen Multi-player : These types of game involve multiple players by providing a portion of the screen for each person.', 'Third Person : These types of game view the world from over the right shoulder of the character being controlled.', 'These types of game are played in turns, so that players can stop and consider their next move.']",15
assistance,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate.""]",1
multi,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.', 'Cooperative Multi-player : These types of game provide an experience that is played symaltaneously by multiple players.', 'Split-screen Multi-player : These types of game involve multiple players by providing a portion of the screen for each person.']",4
-,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.', 'Cooperative Multi-player : These types of game provide an experience that is played symaltaneously by multiple players.', 'Video games that make use of these props look to encompass the strong board gaming tradition that pre-dates and often outsells video games - such as Settlers of Catan or Carcassone.', 'Split-screen Multi-player : These types of game involve multiple players by providing a portion of the screen for each person.']",6
player,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", 'Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.', 'This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.', 'A camera usually feeds in the view and the player is tasked with playing through the environment.', 'These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.', 'Augmented reality games are often combined with GPS location tracking technology to enable players to progress in the game by visiting certain real world locations.', 'Geocaching is an example of a GPS augmented reality game where players use a GPS device to locate hidden containers that have been placed anywhere in the world.', 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.', 'Cooperative Multi-player : These types of game provide an experience that is played symaltaneously by multiple players.', 'Unlike the simple arena competitive multiplayer style games where players try to kill the most enemies, true co-operative games are designed to take a group of players through a campaign experience together.', 'This will involve sections where players have to work together to proceed - either from the sheer difficulty as in Halo 3 on 360 or by the design of levels such as LittleBigPlanet on PS3.', 'They cast the player as a lonely singleton looking for love, who then has to develop strategies to win the affections of different potential partners, lovers and mates.', 'Because of the imediacy of the experience and sheer volume of visual information the player is offered First Person games lend themselves to the shooting genre .', 'The FPS view enables players to immerse themselves in the experience and react quicker to events in the game.', 'Co-operative style experiences often offer a meta-game as a way for players to compare their performance while still contributing to the team effort.', 'They take things a step further by providing points for achieving goals across different games so that players slowly build up a score for their performance on the console as a whole.', 'These games range from Eye of Judgement that uses a camera to detect which cards a player has, to interactive play experience like EyePet.', 'These types of game create a multiplayer experience where players all share the same screen space.', 'Rather than splitting the screen into portions for each player the game scales to fit each player in view even when they are a long way apart.', ""Football and fighting games often take this approach as the shared view doesn't impede the players ability to take part in the action."", '\n\nSingle-player Campaign :', ""These types of game focus on one player's experience."", 'Rather than collaborate with other players either locally or online, players progress alone.', 'These chapters work together to tell a story through which players progress.', 'Single player games are able to focus on one experience of a scenario, so that it is usually a richer, more visceral game.', 'Split-screen Multi-player : These types of game involve multiple players by providing a portion of the screen for each person.', 'This enables two, three or four players to be involved in the game using just one console.', 'Although popular for the PS2, Gamecube and Wii it is becoming less common in modern 360 and PS3 games which are less willing to sacrifice horsepower from the visuals to accomodate the extra players - they opt for an online multiplayer mode instead.', 'These types of game are played in turns, so that players can stop and consider their next move.', 'This is common in tactical experience such as strategy or adventure games as this enhances the sense of control and planning the player has.']",38
ability,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", ""Football and fighting games often take this approach as the shared view doesn't impede the players ability to take part in the action.""]",3
the different types,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate.""]",1
assistance multi,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate.""]",1
these types,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", '\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.', 'Cooperative Multi-player : These types of game provide an experience that is played symaltaneously by multiple players.', 'Dating : These types of games are essentially puzzles based around relationships, identity, love and sex.', 'First Person : These types of game view the world from the eyes of the in-game character.', '\n\nMeta-game : These types of game provide another way to measure success.', 'These types of game use real world cards, props and boards.', '\n\nReal Time : These types of game are played without opportunity to stop and consider the next move.', 'These types of game create a multiplayer experience where players all share the same screen space.', ""These types of game focus on one player's experience."", 'Split-screen Multi-player : These types of game involve multiple players by providing a portion of the screen for each person.', 'Third Person : These types of game view the world from over the right shoulder of the character being controlled.', 'These types of game are played in turns, so that players can stop and consider their next move.']",14
a cooperative experience,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate.""]",1
players,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate."", 'Augmented reality games are often combined with GPS location tracking technology to enable players to progress in the game by visiting certain real world locations.', 'Geocaching is an example of a GPS augmented reality game where players use a GPS device to locate hidden containers that have been placed anywhere in the world.', 'Competitive Multi-player : These types of game provide experiences where players compete against each other and the computer.', 'Unlike the simple arena competitive multiplayer style games where players try to kill the most enemies, true co-operative games are designed to take a group of players through a campaign experience together.', 'This will involve sections where players have to work together to proceed - either from the sheer difficulty as in Halo 3 on 360 or by the design of levels such as LittleBigPlanet on PS3.', 'The FPS view enables players to immerse themselves in the experience and react quicker to events in the game.', 'Co-operative style experiences often offer a meta-game as a way for players to compare their performance while still contributing to the team effort.', 'They take things a step further by providing points for achieving goals across different games so that players slowly build up a score for their performance on the console as a whole.', 'These types of game create a multiplayer experience where players all share the same screen space.', 'Rather than collaborate with other players either locally or online, players progress alone.', 'These chapters work together to tell a story through which players progress.', 'These types of game are played in turns, so that players can stop and consider their next move.']",14
different abilities,"[""\n\nLet's summarise the different types of games here:\n\nAssistance Multi-player : These types of game provide a cooperative experience where players of different abilities can collaborate.""]",1
example,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.', 'Geocaching is an example of a GPS augmented reality game where players use a GPS device to locate hidden containers that have been placed anywhere in the world.', ""Other games have used a first person view to deliver an unusual perspective on an old genre - Mirror's Edge for example delivers a Platforming genre through a First Person view."", 'Achievements on the Xbox 360 and Trophies on the PlayStation Network are examples of meta-games.']",5
mario,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
galaxy,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
modern,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
warfare,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
reflex,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
wii,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.', 'Although popular for the PS2, Gamecube and Wii it is becoming less common in modern 360 and PS3 games which are less willing to sacrifice horsepower from the visuals to accomodate the extra players - they opt for an online multiplayer mode instead.']",3
some examples,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
mario galaxy,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
modern warfare reflex,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
the wii,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
a more experienced player,"['Some examples, such as Mario Galaxy or Modern Warfare Reflex on the Wii, enable a more experienced player to jump in and help the less experienced.']",1
reverse,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",2
flow,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
novice,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
role,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.', 'Dating games fall into the role playing adventure genre, but with quests that are focused in a relational direction.']",2
viva,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
pinata,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
family,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
the expert player,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
the main flow,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
the game,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.', 'Augmented reality games are often combined with GPS location tracking technology to enable players to progress in the game by visiting certain real world locations.', 'The FPS view enables players to immerse themselves in the experience and react quicker to events in the game.', 'A meta-game creates additional challenges that overarch the game itself.', 'Rather than splitting the screen into portions for each player the game scales to fit each player in view even when they are a long way apart.', 'This enables two, three or four players to be involved in the game using just one console.']",6
the novice,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
a supporting role,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
viva pinata,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
something,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.', 'Some games such as Valkyria Chronicles PS3 and PSP provide a turn based strategy experience with real time elements - something that is becoming a popular compromise.']",2
these games,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.', 'These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.', 'Although these games were originally played in a split screen style , more recently they are played online via services such as PlayStation Network, Xbox Live and the Nintendo Wireless Connection.', 'These games range from Eye of Judgement that uses a camera to detect which cards a player has, to interactive play experience like EyePet.']",4
families,"['This also works in reverse, where the expert player controls the main flow of the game and the novice plays a supporting role, such as in Viva Pinata on the 360, something that make these games ideal for families.']",1
augmented,['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.'],1
reality,"['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', 'Augmented reality games are often combined with GPS location tracking technology to enable players to progress in the game by visiting certain real world locations.', 'Geocaching is an example of a GPS augmented reality game where players use a GPS device to locate hidden containers that have been placed anywhere in the world.']",3
overlay,['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.'],1
space,"['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', 'These types of game create a multiplayer experience where players all share the same screen space.']",2
time,"['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', '\n\nReal Time : These types of game are played without opportunity to stop and consider the next move.', 'Other genres, such as strategy or adventure games, can choose whether to be played in turns or in real time.', 'Some games such as Valkyria Chronicles PS3 and PSP provide a turn based strategy experience with real time elements - something that is becoming a popular compromise.']",4
view,"['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', 'A camera usually feeds in the view and the player is tasked with playing through the environment.', 'The FPS view enables players to immerse themselves in the experience and react quicker to events in the game.', ""Other games have used a first person view to deliver an unusual perspective on an old genre - Mirror's Edge for example delivers a Platforming genre through a First Person view."", 'Rather than splitting the screen into portions for each player the game scales to fit each player in view even when they are a long way apart.', ""Football and fighting games often take this approach as the shared view doesn't impede the players ability to take part in the action.""]",8
world,"['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', 'Augmented reality games are often combined with GPS location tracking technology to enable players to progress in the game by visiting certain real world locations.', 'Geocaching is an example of a GPS augmented reality game where players use a GPS device to locate hidden containers that have been placed anywhere in the world.', 'First Person : These types of game view the world from the eyes of the in-game character.', 'These types of game use real world cards, props and boards.', 'Third Person : These types of game view the world from over the right shoulder of the character being controlled.']",6
augmented reality,['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.'],1
game overlay,['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.'],1
the play space,['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.'],1
a real time view,['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.'],1
the world,"['\n\nAugmented Reality : These types of game overlay the play space on a real time view of the world.', 'Geocaching is an example of a GPS augmented reality game where players use a GPS device to locate hidden containers that have been placed anywhere in the world.', 'First Person : These types of game view the world from the eyes of the in-game character.', 'Third Person : These types of game view the world from over the right shoulder of the character being controlled.']",4
camera,"['A camera usually feeds in the view and the player is tasked with playing through the environment.', 'These games range from Eye of Judgement that uses a camera to detect which cards a player has, to interactive play experience like EyePet.']",2
environment,"['A camera usually feeds in the view and the player is tasked with playing through the environment.', 'Although not as immersive as first person, third person games enable more complex moves and interactions with the environment.']",2
a camera,"['A camera usually feeds in the view and the player is tasked with playing through the environment.', 'These games range from Eye of Judgement that uses a camera to detect which cards a player has, to interactive play experience like EyePet.']",2
the view,['A camera usually feeds in the view and the player is tasked with playing through the environment.'],1
the player,"['A camera usually feeds in the view and the player is tasked with playing through the environment.', 'These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.', 'They cast the player as a lonely singleton looking for love, who then has to develop strategies to win the affections of different potential partners, lovers and mates.', 'Because of the imediacy of the experience and sheer volume of visual information the player is offered First Person games lend themselves to the shooting genre .', 'This is common in tactical experience such as strategy or adventure games as this enhances the sense of control and planning the player has.']",5
the environment,"['A camera usually feeds in the view and the player is tasked with playing through the environment.', 'Although not as immersive as first person, third person games enable more complex moves and interactions with the environment.']",2
token,['These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.'],1
gamespace,['These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.'],1
eyepet,"['These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.', 'These games range from Eye of Judgement that uses a camera to detect which cards a player has, to interactive play experience like EyePet.']",4
ps3,"['These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.', 'This will involve sections where players have to work together to proceed - either from the sheer difficulty as in Halo 3 on 360 or by the design of levels such as LittleBigPlanet on PS3.', 'Some games such as Valkyria Chronicles PS3 and PSP provide a turn based strategy experience with real time elements - something that is becoming a popular compromise.', 'Although popular for the PS2, Gamecube and Wii it is becoming less common in modern 360 and PS3 games which are less willing to sacrifice horsepower from the visuals to accomodate the extra players - they opt for an online multiplayer mode instead.']",5
easily identifiable tokens,['These games often introduce easily identifiable tokens so the player can interact with the virtual gamespace more easily - such as EyePet on the PS3.'],1
