Facet Analysis of Video Game Genres_nouns.csv
Unique nouns: 1316,Total nouns: 1952
Total time: 4.076 sec,Cost per noun: 2.088 ms
user,"['Seattle Interactive Media MuseumIntroductionAs video games increase in popularity, users expect efficient and intelligent access to them, similar to their access to other media.', 'As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.', 'Both sources illuminate problems in helping users access video games.', ""Despite a focus on improving particular user tasks, FRBR is limited because it is derived solely from descriptions of information objects rather than on studies of users' desired descriptive information."", 'As a result, users leverage multiple sources to find and cross-check information across sites.', 'These limitations of current organization systems motivated us to explore innovative ways to provide subject access to video games beyond basic descriptive elements -- information that can better inform users about the content or ""aboutness"" of the game.', '"" Purpose emphasizes the intention(s) of game designers and developers rather than that of end users; how users ultimately use the game is contextual and subjective.', 'Therefore we evaluated themes based on the likeliness that users would seek games featuring a given theme.', 'Again, user warrant could be helpful in determining when and how to apply this facet: in other words, would describing setting information in such games be potentially useful for users?', 'For example, when searching for games featuring a Setting in Space, would users expect to see games like Mario Kart or Peggle in their results?', 'This schema will include the genre scheme described here as well as other types of metadata elements that are useful for a wide variety of users interested in video games.', 'Eventually, the scheme will be used to describe the video game collection owned by SIMM, from which a working catalog will be created, enabling users to search and browse games.']",12
efficient and intelligent access,"['Seattle Interactive Media MuseumIntroductionAs video games increase in popularity, users expect efficient and intelligent access to them, similar to their access to other media.']",1
they,"['Seattle Interactive Media MuseumIntroductionAs video games increase in popularity, users expect efficient and intelligent access to them, similar to their access to other media.', 'Shoehorning non- book objects into a bibliographic description creates sub-optimal descriptions (Hagler, 1980), making it hard for people to find what they seek.', 'A small number of LIS studies on metadata for video games exist (e.g., McDonough et al., 2010; Winget, 2011), but they tend to focus on older games due to an interest in preservation.', 'They looked at extant schemes and pulled terms from them to name and organize the facets to be used in their system.', ""Using Ranganathan's fundamental categories as a starting point, they then modified them substantially to reflect the particularities of the humanities (e.g., abstract concepts, philosophical concepts, etc.)."", 'Building on the fundamental categories of the Classification Research Group, they refined the categories on the basis of increasing complexity.', 'The following subsections provide more detailed information on each facet and challenges faced when defining them.', 'Note that for some facets that emerged during our work, we were able to identify only one or two instances of the genre labels representing those facets (e.g., Forms of expression - textual or graphical, Number of players - MMORPG, MMOFPS), thus they were excluded in our final scheme.1 Space limitations prevent a full list of foci for certain facets such as Style or Theme.', 'Are all games essentially Action games since they all require some actions performed by the player?', '(e.g., Lumines, Dyad)Handicraft: A style where objects, characters, or environments look like they are hand-made.', '(e.g.,Little Big Planet, Platypus)Watercolor: A style where objects, characters, or environments look like they are painted in watercolor.', 'For certain types of games, some facets may not be applicable, thus they were left blank in the table.']",14
their access,"['Seattle Interactive Media MuseumIntroductionAs video games increase in popularity, users expect efficient and intelligent access to them, similar to their access to other media.']",1
other medium,"['Seattle Interactive Media MuseumIntroductionAs video games increase in popularity, users expect efficient and intelligent access to them, similar to their access to other media.', 'Mood taxonomies established for other media, like music moods from allmusic.com, may prove to be useful for expanding this list in future work.']",2
game designer,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.', '"" Purpose emphasizes the intention(s) of game designers and developers rather than that of end users; how users ultimately use the game is contextual and subjective.']",2
manufacturer,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.']",1
scholar,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.']",1
educator,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.']",1
player,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.', 'Whalen instead suggests that most games can be divided into three categories: Massive games that are networked (thereby enabling massive numbers of players); mobile games designed for smaller screens and shorter play times; and real games ""requir[ing] players to physically relocate themselves as an act of playing the game"" (p.301).', 'These definitions offer a critical view of genre often missing from larger discussions about the relationships among genres and players.', 'Their goal is to provide a tool enabling game designers to communicate with academics, game journalists, and players.', 'Note that for some facets that emerged during our work, we were able to identify only one or two instances of the genre labels representing those facets (e.g., Forms of expression - textual or graphical, Number of players - MMORPG, MMOFPS), thus they were excluded in our final scheme.1 Space limitations prevent a full list of foci for certain facets such as Style or Theme.', '(e.g., Mass Effect, Kingdom Hearts, Super Mario Bros.)Exercise: Games in which the goal is to get players to move their physical bodies and burn calories or participate in some type of athletic pursuit.', 'This allows players to take time to make strategic decisions.', 'Players are able to manipulate time by taking certain actions (e.g., changing day to night by playing a song) or change the time flow in the game (e.g., The Legend of Zelda:', 'Ocarina of Time, Prince of Persia)Time travel: Players are able to move between different points of time in the same timeline.', '(e.g.,Chrono Trigger, GrimGrimoire)Multiple game clocks: Players are able to move between different points of time in multiple timelines that might converge or stay independent.', 'The game time progresses based on a calendar, sometimes regardless of players participating in game actions.', '(e.g., Shin Megami Tensei: Persona 3, Animal Crossing)Timed action: Players must complete certain action in a given amount of time in order to successfully progress in the game.', 'Branching: A game with multiple endings (e.g., Bioshock 2; Shadow Hearts).Circuitous: A game with a ""new game plus"" feature that allows players to start a new game after completing the game once, while retaining some of the experience, status, or items in the newly started game (e.g., The Walking Dead: The Game; Tales of Graces F).Finite: A game with a single terminal ending (e.g., Portal 2; Final Fantasy VII).Infinite: A game with no definite ending, such as one that is set in an open world (e.g., World of Warcraft, Tiny Tower).Post-Game: A game with bonus content that can be unlocked after completing the game once, such as post-game dungeons (e.g., Batman: Arkham Asylum, Valkyrie Profile 2: Silmeria).Application of the SchemeAs explained previously, we attempted to describe the subject of several sample games using the proposed genre scheme.']",14
parent,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.']",1
young gamer,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.']",1
meaningful way,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.']",1
finding,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.']",1
video game,"['Game designers, manufacturers, scholars, educators, players and parents of young gamers all need meaningful ways of finding, accessing, and interpreting video games.', 'As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.', 'Previous literature identifies genre as one of the most important features for accessing video games (Winget, 2011).', 'As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'Both sources illuminate problems in helping users access video games.', 'For example, video games do not come with title pages, so rules stipulating transcription of information from title pages are unusable for video games.', 'Other bibliographic models attempt to address this problem, such as Functional Requirements for Bibliographic Records (FRBR) (IFLA, 2009), but fundamental problems arise when applying these ideas to video games (McDonough et al., 2010).', ""Descriptions based on the context of an object, such as a user's reaction (e.g., mood), or similarity-based relationships (i.e., similar games)--which can be significant in the context of video games--are not represented in FRBR (Lee, 2010)."", 'Library of Congress Subject Headings, designed to describe all materials held by libraries, contains only 219 headings (out of about 337,000) for describing video games mostly by name (e.g., Halo, Legend of Zelda).', 'In addition, there are only five genre headings for video games: Computer adventure games, Computer baseball games, Computer flight games, Computer war games, and Computer word games.', 'A small number of LIS studies on metadata for video games exist (e.g., McDonough et al., 2010; Winget, 2011), but they tend to focus on older games due to an interest in preservation.', 'Alternatively, the web contains massive information about video games, scattered across many sources.', 'These limitations of current organization systems motivated us to explore innovative ways to provide subject access to video games beyond basic descriptive elements -- information that can better inform users about the content or ""aboutness"" of the game.', 'Such confusion may stem fromdebates about the nature of video games.', '; How has ""RPG (Role-Playing Game)"" evolved over time and what are the differences between ""JRPG"" and ""Western RPG""?).We plan to mitigate these issues by systematically evaluating the scheme via soliciting feedback from gamers, and continuing to evaluate video games against the scheme, especially newer games such as digitally downloadable games and apps.', 'Thus two different facets in our scheme describe the visual aspects of video games.', 'Future work includes complete definitions for all the indexing terms under each facet (e.g., what is the definition of a Stealth style game?; what counts as a Cyberpunk setting?); the creation of additional metadata records to test the scheme; and usability studies involving real users of video games.', 'This project is part of a larger research agenda to develop a metadata schema specifying important information features, their definitions, and attributes for video games.', 'This schema will include the genre scheme described here as well as other types of metadata elements that are useful for a wide variety of users interested in video games.', 'We have established a core schema containing the 16 metadata elements crucial in describing video games in any context (Lee et al., 2013) and we are currently in the process of developing a larger recommended set.', 'How much do you know about video games?', 'Video games in the 21st Century: The 2010 report.', 'A critique of generic formulas in video games in the context of ""the real"".']",24
a first step,"['As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.', 'Facets of Video Game Genres with Examples of Genre Labels Representing Each FacetConclusion and Future WorkThis paper reports on a first step in understanding the complexity of video game genre in order to devise a more robust scheme for representing this information.']",2
robust access,"['As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.']",1
diverse stakeholder,"['As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.']",1
we,"['As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.', 'In this paper, we present a faceted classification scheme for video game genre based on our analysis of hundreds of pre-existing genre labels collected from existing video game organization systems.', 'We provide definitions and explanations for each facet as well as examples of foci (i.e., indexing terms) along with a discussion on issues and challenges in representing video game genres.', 'These limitations of current organization systems motivated us to explore innovative ways to provide subject access to video games beyond basic descriptive elements -- information that can better inform users about the content or ""aboutness"" of the game.', 'Classification theory seems to be alien in game studies, so we bring a fresh approach to a long- standing problem in this area.', 'We believe our work can provide forward momentum.', 'By employing facet analysis, we attempted to create a conceptual map of a subject field: video game genres.', 'Our process of facet analysis is summarized in Figure 1.Process of Developing Facets and Foci: AnalysisFor the Analysis part, we started by conducting a domain analysis of how genre labels are currently being used in the video game community.', 'We ended up with 804 instances of genre labels from multiple game-related websites and online directories/ encyclopedias (e.g., Allgame, Gamefaqs, Gamespot, Mobygames, IGN, Giantbomb, dmoz, ranker, Wikipedia, Amazon) as well as previous literature related to game genres (e.g., Apperley, 2006; Djaouti et al., 2007; Djaouti et al., 2008; King, Delfabbro & Griffiths, 2010; Foster & Misha, 2011; Wolf, 2001).', 'After eliminating duplicates, areas of conceptual overlap, and labels that were not applicable (e.g., labels describing interactive media such as word processors or image editing software), we used card sorting to organize and elicit categories describing different types of genre labels.', 'Here, it enabled us to create a conceptual framework to organize hundreds of genre labels.', 'After identifying major categories, we identified and named the facets to reasonably describe the specific characteristics of division (e.g., Gameplay, Artistic style, Theme, Mood/Affect).', 'Figure 1: Steps Involved in Facet AnalysisNext, we clearly defined each of these facets.', 'Then we organized the foci for each facet based on the genre labels collected.', ""Then we evaluated each term based on potential end- user warrant, considering the term's popularity and potential user familiarity."", 'We sought domain expertise from the creators of SIMM (Seattle Interactive Media Museum) to make this judgment.', 'Process of Developing Facets and Foci: SynthesisIn the Synthesis phase, we reduced the size and complexity of the foci in the genre scheme.', ""Like Gnoli and Hong's (2006) test, we described a variety of sample games representing diverse gameplays and platforms to identify any problems with the scheme and remedythem by adding, deleting, or modifying the indexing terms."", 'Through this iterative process, we continued to evaluate and refine the indexing terms.', 'Afterwards, we defined the foci in order to clearly convey the meanings of the terms and thus established the final set of facets and foci.', 'As the video game domain evolves, we plan to continually revise our scheme with help from domain experts and enthusiasts.', 'Many questions arose, some of which we could not answer in a satisfying manner.', 'Note that for some facets that emerged during our work, we were able to identify only one or two instances of the genre labels representing those facets (e.g., Forms of expression - textual or graphical, Number of players - MMORPG, MMOFPS), thus they were excluded in our final scheme.1 Space limitations prevent a full list of foci for certain facets such as Style or Theme.', 'In future work, we plan to further test and evaluate these foci by cataloging a larger number of sample video games and investigating whether gamers are reasonably able to comprehend and distinguish among these different labels of gameplay.', 'Rather than creating another scheme to represent this information, we decided to incorporate existing rating information from organizations such as the Entertainment Software Rating Board (i.e., Early Childhood, Everyone, Everyone 10+, Teen, Mature, Adults Only, Rating Pending) or Videogame Rating Council (i.e., General Audiences, Mature Audiences- 13, Mature Audiences-17, Not Yet Rated).', 'After lengthy discussion and examination of extant terms and screenshots of game displays, we determined that it would be useful to separate the technical aspects from the artistic or aesthetic aspects of game display.', 'Do we represent the intention of the creators or the actual display?', 'It is easily possible that games we currently perceive as Realistic will be perceived as Retro after 20 years.', '"" We identified the following seven foci:Real-time: The game time progresses continuously and actions are performed in real-time.', 'We have organized a total of 127 different themes under 22 main categories (i.e., Art & Design, Business, Children, Concept, Crime, End of the world, Fantasy, Food, History, Holidays, Law, Medicine, Nature, Politics, Religion, Science, Sci-fi, Sex, Sports, Supernatural, Travel & Transportation, and War & Fighting) and we anticipate this list will grow as we test larger numbers of games.', 'Therefore we evaluated themes based on the likeliness that users would seek games featuring a given theme.', 'In order to empirically ground this list of foci, we plan to conduct additional studies involving real users in our future work.', 'Currently the foci under setting are divided into two sub-categories: ""spatial"" (i.e., Asian, Casino, Castle, Desert, Game show, Hospital, Nature, Ocean, Rural, School, Space, Spaceship, Tundra, Urban, Virtual worlds, and Western) and ""temporal"" (i.e., Cyberpunk, Futuristic, Gothic, Historic, Medieval, Modern, Renaissance, and Steampunk).Our discussion evoked the following questions: how do we describe games such as Mario Kart where the environment of the game changes in each stage of the game?', 'We identified fifteen common moods in games including Adventurous, Aggressive, Cute, Dark, Horror, Humorous, Inspirational, Intense, Light- hearted, Mysterious, Peaceful, Sarcastic, Sensual, Solitary and Quirky.', 'Branching: A game with multiple endings (e.g., Bioshock 2; Shadow Hearts).Circuitous: A game with a ""new game plus"" feature that allows players to start a new game after completing the game once, while retaining some of the experience, status, or items in the newly started game (e.g., The Walking Dead: The Game; Tales of Graces F).Finite: A game with a single terminal ending (e.g., Portal 2; Final Fantasy VII).Infinite: A game with no definite ending, such as one that is set in an open world (e.g., World of Warcraft, Tiny Tower).Post-Game: A game with bonus content that can be unlocked after completing the game once, such as post-game dungeons (e.g., Batman: Arkham Asylum, Valkyrie Profile 2: Silmeria).Application of the SchemeAs explained previously, we attempted to describe the subject of several sample games using the proposed genre scheme.', 'We have established a core schema containing the 16 metadata elements crucial in describing video games in any context (Lee et al., 2013) and we are currently in the process of developing a larger recommended set.', 'We hope to augment existing standards in the LIS field, such as FRBR and related standards, as well as assisting organizations such as SIMM and Common Sense Media by providing a more formal metadata schema and encoding schemes that can be used across multiple game-related websites and other resources.', 'What video games have to teach us about learning and literacy.']",41
the information,"['As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.']",1
current video game access,"['As a first step in providing robust access to video games for diverse stakeholders, we need to understand the information provided to users through current video game access.']",1
previous literature identifie,"['Previous literature identifies genre as one of the most important features for accessing video games (Winget, 2011).']",1
the most important feature,"['Previous literature identifies genre as one of the most important features for accessing video games (Winget, 2011).']",1
winget,"['Previous literature identifies genre as one of the most important features for accessing video games (Winget, 2011).']",1
part,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'Card sorting can be used as an exploratory technique as part of the piloting work without any preliminary elicitation using other techniques (Rugg & McGeorge, 2002).', 'This project is part of a larger research agenda to develop a metadata schema specifying important information features, their definitions, and attributes for video games.']",3
a large research effort,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.']",1
access,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.']",1
this paper,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'In this paper, we present a faceted classification scheme for video game genre based on our analysis of hundreds of pre-existing genre labels collected from existing video game organization systems.']",2
the follow two research question,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.']",1
what,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'Shoehorning non- book objects into a bibliographic description creates sub-optimal descriptions (Hagler, 1980), making it hard for people to find what they seek.', 'Additionally, even domain experts and enthusiasts are challenged by understanding the meanings of all the indexing terms (e.g., What is the difference between ""Shmup"" and ""Light gun"" games?; What does ""Exergaming"" mean?) as well as the domain itself (e.g., Do ""Meditation"" games really exist?', '; How has ""RPG (Role-Playing Game)"" evolved over time and what are the differences between ""JRPG"" and ""Western RPG""?).We plan to mitigate these issues by systematically evaluating the scheme via soliciting feedback from gamers, and continuing to evaluate video games against the scheme, especially newer games such as digitally downloadable games and apps.', '(e.g., Super Paper Mario, Perspective)Defining this facet presented another challenge: what is the nature of the relationship between the Presentation and Artistic style (see below) facets?', 'Future work includes complete definitions for all the indexing terms under each facet (e.g., what is the definition of a Stealth style game?; what counts as a Cyberpunk setting?); the creation of additional metadata records to test the scheme; and usability studies involving real users of video games.', 'What defines video game genre?']",9
the different type,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'Study DesignMethodWe employed the method of facet analysis to tease out the different types of information that are represented in current video genre labels.', 'Through the method of facet analysis, it is possible to ascertain and represent the different types of information embedded in current video game genre labels in a flexible and extensible way.']",4
information,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'For example, video games do not come with title pages, so rules stipulating transcription of information from title pages are unusable for video games.', 'Such a wealth of information, however, creates a poverty of certainty in determining authority and trustworthiness.', 'These limitations of current organization systems motivated us to explore innovative ways to provide subject access to video games beyond basic descriptive elements -- information that can better inform users about the content or ""aboutness"" of the game.', 'Strategy games require collecting, processing, interpreting, and accessing information via the game interface.', 'Like the library-, industry-, and fan-based systems described earlier, game studies scholars find many dimensions of information embedded in video game genre descriptions.', 'Study DesignMethodWe employed the method of facet analysis to tease out the different types of information that are represented in current video genre labels.', 'Again, user warrant could be helpful in determining when and how to apply this facet: in other words, would describing setting information in such games be potentially useful for users?', 'An analysis of game labels used in game-related websites and catalogs revealed that the metadata element ""genre"" was heavily overloaded with multiple dimensions of information.', 'Through the method of facet analysis, it is possible to ascertain and represent the different types of information embedded in current video game genre labels in a flexible and extensible way.']",11
the genre label,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'Then we organized the foci for each facet based on the genre labels collected.', 'Note that for some facets that emerged during our work, we were able to identify only one or two instances of the genre labels representing those facets (e.g., Forms of expression - textual or graphical, Number of players - MMORPG, MMOFPS), thus they were excluded in our final scheme.1 Space limitations prevent a full list of foci for certain facets such as Style or Theme.']",3
available game organization,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.']",1
systems?what,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.']",1
the facet,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'They looked at extant schemes and pulled terms from them to name and organize the facets to be used in their system.', 'After identifying major categories, we identified and named the facets to reasonably describe the specific characteristics of division (e.g., Gameplay, Artistic style, Theme, Mood/Affect).', 'The first column of Table 1 lists the facets.']",4
focus,"['As part of a larger research effort intending to improve access to video games, this paper explores the following two research questions:What are the different types of information that are represented in the genre labels that are currently used in available game organization systems?What are the facets and foci that can systematically describe the different types of information currently embedded in video game genre labels?In order to understand genre access offered by current systems, the authors identified multiple information dimensions represented in video game genres through facet analysis.', 'We provide definitions and explanations for each facet as well as examples of foci (i.e., indexing terms) along with a discussion on issues and challenges in representing video game genres.', 'Our process of facet analysis is summarized in Figure 1.Process of Developing Facets and Foci: AnalysisFor the Analysis part, we started by conducting a domain analysis of how genre labels are currently being used in the video game community.', 'Process of Developing Facets and Foci: SynthesisIn the Synthesis phase, we reduced the size and complexity of the foci in the genre scheme.', 'Afterwards, we defined the foci in order to clearly convey the meanings of the terms and thus established the final set of facets and foci.', 'The number of foci (i.e., indexing terms) identified under each facet is provided in the second column.', 'Certain facets and foci were structured hierarchically: for instance, the facet Gameplay has the sub-facet Style describing more specific kinds of gameplay; Theme has 22 parent terms that are divided into 127 child terms; and Setting was divided into two sub-types ""Spatial"" and ""Temporal.""', 'Note that for some facets that emerged during our work, we were able to identify only one or two instances of the genre labels representing those facets (e.g., Forms of expression - textual or graphical, Number of players - MMORPG, MMOFPS), thus they were excluded in our final scheme.1 Space limitations prevent a full list of foci for certain facets such as Style or Theme.', 'Some examples of foci include abstract concepts such as Death, Friendship, or Coming-of-age, entities such as Superheroes, Zombies, Robots, and Pirates, or subjects like Art, Music, Management, and so on.', 'In order to empirically ground this list of foci, we plan to conduct additional studies involving real users in our future work.']",10
