737_Pilot_Operating_Manual_nouns.csv
Unique nouns: 1451,Total nouns: 2296
Total time: 14.537 sec,Cost per noun: 6.332 ms
it,"['It may also be distributed with third-party content developed for X-Plane 11.', 'Your control inputs move the control surfaces of the aircraft, and these interact with the virtual flow of air around it.', ""Due to the use of 'Blade Element Theory' in X-Plane, an aircraft must be modeled with great accuracy, in order that it behave like its real-life counterpart."", 'It is recommended that X-Plane pilots follow those procedures to extract the maximum capability and enjoyment from this aircraft.', 'Hint: To best view some of the switches featured in this aircraft, it is helpful to hide the pilot and co-pilot yokes.', 'Place the mouse pointer slightly above, or below, the center point of the switch, depending on the direction you intend to move it.', 'If the switch is currently closed, it will open, and vice-versa.', 'It also features the master battery switch.', 'It is recommended the pilot assign an external peripheral axis to this control if one is available.', 'Rotary When Vertical Speed mode is engaged, the autopilot will ascend, or descend at the desired rate, until reaching the altitude displayed here, at which point it will level-off.', 'The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.', 'It is recommended the pilot generate a flight plan for the chosen route before using the FMS or GPS units.']",12
third-party content,['It may also be distributed with third-party content developed for X-Plane 11.'],1
-plane,['It may also be distributed with third-party content developed for X-Plane 11.'],1
1 content background,['1 Contents Background: The Boeing 737 ........................................................................................................................ 5 B737-800 Series Specifications ................................................................................................................. 6'],1
........................................................................................................................,['1 Contents Background: The Boeing 737 ........................................................................................................................ 5 B737-800 Series Specifications ................................................................................................................. 6'],1
5 b737-800 series specification,['1 Contents Background: The Boeing 737 ........................................................................................................................ 5 B737-800 Series Specifications ................................................................................................................. 6'],1
the x-plane b737-800 ................................................................................................................................... 7 view,['The X-Plane B737-800 ................................................................................................................................... 7 Views and Controls .......................................................................................................................................'],1
control,"['The X-Plane B737-800 ................................................................................................................................... 7 Views and Controls .......................................................................................................................................', 'The B737-800 is equipped with Yokes, for roll and pitch control.', 'This will assist in locating the necessary instruments and controls later, when working through the aircraft check lists, and flying the aircraft.', 'The CONTROL PANEL Rotary manually switches control of left and right-side displays to a single EFIS control panel.', 'APU and Engine start / External Lights This panel supports two main functions: APU and Engine start, and control of the external taxi, runway, and collision lights.', 'The EEC buttons provide control over the Electronic Engine Control system.']",6
""" quick look "" view","['Creating ""Quick Look"" views .....................................................................................................................', 'Creating ""Quick Look"" views Before discussing the controls, we suggest that the pilot establish a series of ""Quick Look"" views that will be helpful later when interacting with this particular aircraft.']",3
the control,"['9 Operating the controls ............................................................................................................................', 'Creating ""Quick Look"" views Before discussing the controls, we suggest that the pilot establish a series of ""Quick Look"" views that will be helpful later when interacting with this particular aircraft.', ""Control Panel 10 Pilot's Left Glance View Overhead Panel Co-Pilot's Right Glance View 11 Operating the controls"", 'This section covers the basics techniques for the operation of the controls that you will encounter in the cockpit of an X-Plane aircraft.', 'Some rotary dials are operated by positioning the mouse pointer on top of the control, and then a click and drag to the right, or to the left.', 'This indicates that you are ready to rotate the control counter-clockwise.', 'In this section of the manual, the cockpit will be broken down into distinct functional areas, and the controls that are featured in those areas will be identified and described.']",7
peripheral device,"['Assigning peripheral devices ...................................................................................................................', 'Assigning peripheral devices This section of the manual deals with an ""ideal"" scenario, in terms of the assignment of external computer peripherals to operate the X-Plane B737-800 with the highest degree of realism.', 'See: Assigning peripheral devices 74 TAXI LIGHTS - ON TRANSPONDER - ALT OFF PARKING BRAKE - OFF 75 Before Takeoff ALTIMETER - SET TRANSPONDER - ALT ON LANDING LIGHTS - ON (TAXI LIGHTS - OFF)']",3
14 a tour,['14 A Tour of the Cockpit ..................................................................................................................................'],1
the cockpit,"['14 A Tour of the Cockpit ..................................................................................................................................', 'To some degree, these correspond (on the keyboard Number Pad) with their physical locations in the cockpit, and are therefore logical and easy to recall later.', 'This section covers the basics techniques for the operation of the controls that you will encounter in the cockpit of an X-Plane aircraft.', 'A Tour of the Cockpit', 'In this section of the manual, the cockpit will be broken down into distinct functional areas, and the controls that are featured in those areas will be identified and described.', 'The circuit breaker boards themselves are located on the back wall of the cockpit, behind the pilot and first-officer.']",6
forward overhead panel,['Forward Overhead Panel ........................................................................................................................'],1
flight control,"['Flight Controls .................................................................................................................................', '7 Views and Controls The X-Plane B737-800 features a detailed 3-D cockpit with a great many of the primary controls and systems modeled, including: Flight controls (yoke, rudder pedals, thrust levers, prop levers, condition levers), electrical systems, pneumatic systems, navigation aids, radios, autopilot, interior and exterior lighting, and fuel systems.', 'Flight Controls', '70 ENGINE 2 FUEL CONTROL LEVER - UP (ON) (ENGINE) GENERATOR 1 - ON (ENGINE) GENERATOR 2 - ON APU GENERATOR 1 - OFF APU GENERATOR 2 - OFF 71 APU BLEED - OFF APU - OFF 72 Before Taxi SEATBELT SIGN - ON ELEVATOR TRIM - SET FOR TAKEOFF (+ 10 Degrees) 73 FLAPS - SET (5 Degrees) FLIGHT CONTROLS -']",4
ac,"['AC and DC Metering ........................................................................................................................', 'AC and DC Metering This panel is used to select and monitor the source of electrical power to the aircraft (both DC on the left, and AC on the right.']",2
transfer,['Transfer ...........................................................................................................................................'],1
standby power,"['Standby Power & Generator Bus .................................................................................................... 19 5.', 'Standby Power & Generator Bus (AUTO, BAT or OFF).', 'The following check list is a sub-set of the real procedures, and includes only the essential steps leading to engine start: PARKING BRAKE - ON BATTERY MASTER - ON STANDBY POWER - ON 65 GROUND POWER - ON APU - START Move switch to START, then release to ON.']",3
generator bus,"['Standby Power & Generator Bus .................................................................................................... 19 5.', 'Standby Power & Generator Bus (AUTO, BAT or OFF).']",2
fuel,"['Fuel ..................................................................................................................................................', 'Setting the Weight, Balance and Fuel in X-Plane .................................................................................... 62 Checklists .................................................................................................................................................... 63', 'Fuel -----------------------------------------', 'These are manually actuated by the flight crew to introduce fuel to the engines during the start procedure.', 'Fuel', 'Fuel is heated using the engine oil, to minimize icing potential.', 'When open, either of the engines may source fuel from any tank.', 'Fuel Control Levers The Fuel Control Levers are manually actuated by the pilot to introduce fuel into the engines, or cut-off fuel from the engines.', 'During startup, the pilot moves the lever to the up position to introduce fuel when the jet turbine has achieved the desired rotation speed.', 'During shutdown, the pilot moves the lever to the down position to close the supply of fuel to the engine.', 'Add 500 lbs. of fuel for every 10-minutes of taxi-time.', 'Cruise Total Left Right Center PAX PAX PAX Cargo Cargo Payload CG CG Time and Fuel Fuel Wing Wing Tank Fwd Mid Aft Fwd Aft (lbs.)', 'Fuel (lbs.)', 'Total Left Right Center PAX PAX PAX Cargo Cargo Payload CG CG Time and Fuel Fuel Wing Wing Tank Fwd Mid Aft Fwd Aft (lbs.)', '-29 420 1,000 43,050 44,050 8500 8,500 27,050 60 60 60 1800 1800 34,620 13.6 -29 61  Setting the Weight, Balance and Fuel in X-Plane After calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure the weight, balance and fuel for your upcoming flight.']",25
ice & rain protection,"['Ice & Rain Protection ...................................................................................................................... 21 8.', 'Ice & Rain Protection This panel is used to control the window and pitot tube heaters, to protect against fogging and icing.']",2
temperature control,"['Temperature Control ......................................................................................................................', 'Temperature Control']",2
pneumatic,"['Pneumatics ......................................................................................................................................', 'Pneumatics which can be supplied by the engines, APU or a ground source.']",2
hydraulic,['Hydraulics ......................................................................................................................................'],1
overhead panel,"['Aft Overhead Panel ................................................................................................................................. 24 1.', ""Control Panel 10 Pilot's Left Glance View Overhead Panel Co-Pilot's Right Glance View 11 Operating the controls"", 'Forward Overhead Panel']",3
emergency locator transmitter,"['Emergency Locator Transmitter (ELT) .............................................................................................', 'Emergency Locator Transmitter (ELT)']",2
dome light,"['Dome Light ......................................................................................................................................', 'Dome Light']",2
audio control,"['Audio Control ..................................................................................................................................', 'Audio Control', ""See: Audio Control and For localizer and ILS approaches: EHSI Control Panel NAV1 works in conjunction with the pilot's EHSI, and Autopilot A. NAV2 works in conjunction with the first-officer's EHSI, and Autopilot B. 46  "", 'Audio Control See: Audio Control 47']",5
electronic engine control,"['Electronic Engine Control (EEC) ......................................................................................................', 'Electronic Engine Control (EEC) system mode.']",2
26 primary instrument panel,['26 Primary Instrument Panels .....................................................................................................................'],1
28 electronic attitude director indicator,['28 Electronic Attitude Director Indicator (EADI)......................................................................................'],1
eadi,"['28 Electronic Attitude Director Indicator (EADI)......................................................................................', '27 Primary Instrument Panels Electronic Attitude Director Indicator (EADI)', 'The EADI is covered in detail in a separate chapter: Electronic Attitude Director Indicator (EADI) Components 28', '31 Electronic Attitude Director Indicator (EADI) Components 1 Mach Number Airspeed expressed as a percentage of the speed of sound (Mach-1).']",4
electronic horizontal situation indicator,"['Electronic Horizontal Situation Indicator (EHSI) .................................................................................', 'Electronic Horizontal Situation Indicator (EHSI)', 'The EHSI is covered in detail in a separate chapter: Electronic Horizontal Situation Indicator (EHSI)']",3
ehsi,"['Electronic Horizontal Situation Indicator (EHSI) .................................................................................', '34 Electronic Horizontal Situation Indicator (EHSI)', 'Electronic Horizontal Situation Indicator (EHSI)', 'The EHSI is covered in detail in a separate chapter: Electronic Horizontal Situation Indicator (EHSI)', 'This instrument provides redundancy in the event of a failure of the primary EADI and EHSI and combines the functions of both into a single unit.', '33 Electronic Horizontal Situation Indicator (EHSI)', 'Weather radar 11 Waypoint 12 Current Location 35 Electronic Horizontal Situation Indicator (EHSI)']",7
29 backup eadi/ehsi,['29 Backup EADI/EHSI ...............................................................................................................................'],1
29 instrument lighting control panel,['29 Instrument Lighting Control Panel ......................................................................................................'],1
chronometer,['Chronometer ....................................................................................................................................... 30'],1
tiller,['Tiller ....................................................................................................................................................'],1
31 annunciator,['31 Annunciators ....................................................................................................................................... 31 2 Electronic Attitude Director Indicator (EADI) Components .............................................................. 32'],1
31 2 electronic attitude director indicator,['31 Annunciators ....................................................................................................................................... 31 2 Electronic Attitude Director Indicator (EADI) Components .............................................................. 32'],1
eadi ) component,['31 Annunciators ....................................................................................................................................... 31 2 Electronic Attitude Director Indicator (EADI) Components .............................................................. 32'],1
mach number,['Mach Number .....................................................................................................................................'],1
32 fmc,['32 FMC SPD ..............................................................................................................................................'],1
32 lnav,['32 LNAV ....................................................................................................................................................'],1
32 vnav,['32 VNAV ...................................................................................................................................................'],1
altitude scale,['Altitude Scale ......................................................................................................................................'],1
flight director horizontal deviation bar,['Flight Director Horizontal Deviation Bar .............................................................................................'],1
33 current altitude,['33 Current Altitude ..................................................................................................................................'],1
vertical deviation scale,['33 ILS Vertical Deviation Scale .................................................................................................................'],1
33 static reference line,['33 Static Reference Lines .........................................................................................................................'],1
airspeed,['Airspeed Scale .....................................................................................................................................'],1
scale,"['Airspeed Scale .....................................................................................................................................', 'Airspeed Scale 12 Current Airspeed 13 Flight Director Vertical']",2
33 current airspeed,['33 Current Airspeed .................................................................................................................................'],1
33 flight director,['33 Flight Director Vertical Deviation Bar .................................................................................................'],1
vertical deviation bar,['33 Flight Director Vertical Deviation Bar .................................................................................................'],1
ground,"['Altitude Above Ground (AGL) .............................................................................................................', '14 Altitude Above Ground Altitude Above Ground (from the radio-altimeter) between 0 and 2,500 feet (AGL) 15']",2
33 heading bug,['33 Heading Bug ........................................................................................................................................ 33'],1
magnetic heading,['Magnetic Heading ...............................................................................................................................'],1
33 altimeter setting,['33 Altimeter Setting .................................................................................................................................'],1
33 electronic horizontal situation indicator ehsi ) component,['33 Electronic Horizontal Situation Indicator (EHSI) Components ..........................................................'],1
34 electronic horizontal situation indicator,['34 Electronic Horizontal Situation Indicator (EHSI)'],1
control panel,"['Control Panel ........................................................', ""Control Panel 10 Pilot's Left Glance View Overhead Panel Co-Pilot's Right Glance View 11 Operating the controls"", 'Control Panel A separate EHSI Control Panel is provided for the pilot and first-officer.', 'Control panels are located on either side of the center console, for access by pilot and first-officer.']",5
flight path vector display,['Flight Path Vector Display ...................................................................................................................'],1
36 mtrs,['36 MTRS ...................................................................................................................................................'],1
36 baro rotary,['36 Baro Rotary .........................................................................................................................................'],1
36 vor,['36 VOR 2 ..................................................................................................................................................'],1
display distance,['Map Display Distance .......................................................................................................................... 36 Features Buttons .................................................................................................................................'],1
36 feature button,['Map Display Distance .......................................................................................................................... 36 Features Buttons .................................................................................................................................'],1
reference selector,['36 MINS Reference Selector ....................................................................................................................'],1
36 vor 1 .................................................................................................................................................. 36 ehsi mode,['36 VOR 1 .................................................................................................................................................. 36 EHSI Mode ...........................................................................................................................................'],1
37 center panel,['37 Center Panel ............................................................................................................................................'],1
38 upper eicas,"['38 Upper EICAS (Engine Indications and Crew Alerting System) Display ................................................', '38 Upper EICAS (Engine Indications and Crew Alerting System) Display 1 TAT Total Air Temperature:']",2
engine indication,"['38 Upper EICAS (Engine Indications and Crew Alerting System) Display ................................................', 'Lower EICAS (Engine Indications and Crew Alerting System) Display ................................................ 41', '38 Upper EICAS (Engine Indications and Crew Alerting System) Display 1 TAT Total Air Temperature:', '40 Lower EICAS (Engine Indications and Crew Alerting System) Display 1 N2 N2 Fan rotation speed, as a percentage of maximum 2 FF Fuel Flow (in lbs.']",4
crew alert system,"['38 Upper EICAS (Engine Indications and Crew Alerting System) Display ................................................', 'Lower EICAS (Engine Indications and Crew Alerting System) Display ................................................ 41', '38 Upper EICAS (Engine Indications and Crew Alerting System) Display 1 TAT Total Air Temperature:', '40 Lower EICAS (Engine Indications and Crew Alerting System) Display 1 N2 N2 Fan rotation speed, as a percentage of maximum 2 FF Fuel Flow (in lbs.']",4
display,"['38 Upper EICAS (Engine Indications and Crew Alerting System) Display ................................................', 'Lower EICAS (Engine Indications and Crew Alerting System) Display ................................................ 41', 'These work independently, and are used to control and customize the settings and information presented on the left, and right EHSI display: 1 Flight Path Vector Not currently supported Display 2 MTRS Selects the additional display of EADI altitude in meters 3 Baro Rotary Used to set the altimeter barometric pressure and units 4 VOR 2 Enables navigation using the VOR tuned by the NAV 2 radio.', '9 Vertical Speed When VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of Display and Rotary ascent, or descent, according to this value.']",4
low eica,['Lower EICAS (Engine Indications and Crew Alerting System) Display ................................................ 41'],1
fms control display unit,['FMS Control Display Units (CDUs) ..........................................................................................................'],1
cdus,"['FMS Control Display Units (CDUs) ..........................................................................................................', '41 FMS Control Display Units (CDUs) See the (separate) X-Plane 11 Flight Management System (FMS) Manual for comprehensive instructions in relation to the function and operation of the Flight Management System installed in this aircraft.']",2
42 3 center pedestal,['42 3 Center Pedestal .......................................................................................................................................'],1
lever,"['Thrust Levers .......................................................................................................................................', 'Levers are operated by assigning a peripheral device to the necessary axes in X-Plane (throttle, prop, mixture etc.).', 'Levers may also be operated by clicking and dragging the mouse pointer.', '42 Center Pedestal Thrust Levers', 'Also included in this unit are (smaller) reverse-thrust levers, located behind the (larger) thrust levers.']",5
speed brake lever,['Speed Brake Lever ...............................................................................................................................'],1
44 flap lever,['44 Flap Lever ............................................................................................................................................'],1
44 pitch trim wheel,"['44 Pitch Trim Wheel .................................................................................................................................', '44 Pitch Trim Wheel']",2
45 fuel control lever,['45 Fuel Control Levers .............................................................................................................................'],1
comm,"['45 VHF (Comm) Radios ............................................................................................................................ 46 NAV Radios .......................................................................................................................................... 46 Transponder ........................................................................................................................................', 'This aircraft is equipped VHF (Comm) Radios with three communications radios - VHF 1, VHF 2 and VHF 3.']",2
46 transponder,['45 VHF (Comm) Radios ............................................................................................................................ 46 NAV Radios .......................................................................................................................................... 46 Transponder ........................................................................................................................................'],1
47 audio control,['47 Audio Control ......................................................................................................................................'],1
48 autopilot operation,"['48 Autopilot Operation ....................................................................................................................................', ""48 Autopilot Operation 1 Left COURSE Display Used to select the desired VOR radial for the captain's EHSI.""]",2
49 auto-land,['49 Auto-Land ................................................................................................................................................'],1
flight planning,['Flight Planning .............................................................................................................................................'],1
55 fuel calculation,['55 Fuel Calculation ...........................................................................................................................................'],1
56 load sheet table,['56 Load Sheet Tables .......................................................................................................................................'],1
the weight,"['Setting the Weight, Balance and Fuel in X-Plane .................................................................................... 62 Checklists .................................................................................................................................................... 63', '-29 420 1,000 43,050 44,050 8500 8,500 27,050 60 60 60 1800 1800 34,620 13.6 -29 61  Setting the Weight, Balance and Fuel in X-Plane After calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure the weight, balance and fuel for your upcoming flight.']",3
balance,"['Setting the Weight, Balance and Fuel in X-Plane .................................................................................... 62 Checklists .................................................................................................................................................... 63', '-29 420 1,000 43,050 44,050 8500 8,500 27,050 60 60 60 1800 1800 34,620 13.6 -29 61  Setting the Weight, Balance and Fuel in X-Plane After calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure the weight, balance and fuel for your upcoming flight.']",3
x,"['Setting the Weight, Balance and Fuel in X-Plane .................................................................................... 62 Checklists .................................................................................................................................................... 63', 'When you ""fly"" an airplane in X-Plane, there are no artificial rules in place to govern how the aircraft behaves.', 'However, despite this, some differences will be apparent, because even the smallest factor plays into the ultimate behavior of the aircraft, both in real life, and in X-Plane.', 'The Yoke / Stick / Joystick is operated by assigning a peripheral device to the ""roll"" and ""pitch"" axes in X-Plane.', 'The Rudder Pedals are operated by assigning a peripheral device to the ""yaw"" axis in X-Plane.', 'If your rudders also support toe braking, create additional assignments to the ""left toe brake"" and ""right toe brake"" axes in X-Plane.', 'To simulate this, assign the lateral axis of your yoke (or joystick) to the ""Roll"" command in X-Plane, and the vertical axis to the ""Pitch"" command.', 'To simulate the thrust levers for a B737-800, assign two levers on your quadrant to the ""Throttle 1"" and ""Throttle 2"" property in X-Plane.', 'To simulate this, assign two levers on your quadrant to the ""Mixture 1"" and ""Mixture 2"" properties in X-Plane. .', 'To simulate this, assign a peripheral lever to the ""Flaps"" property in X-Plane. .', 'To simulate this, assign a peripheral lever to the ""Landing gear"" property in X-Plane. .', 'To simulate this, assign the yaw axis of your pedals peripheral device (or a joystick axis) to the ""yaw"" property in X-Plane.', 'To simulate this, assign the brake ""toe-tipping"" motion of each individual pedal (or a joystick axis) to the ""left toe brake"" and ""right toe brake"" property in X-Plane.', '-29 420 1,000 43,050 44,050 8500 8,500 27,050 60 60 60 1800 1800 34,620 13.6 -29 61  Setting the Weight, Balance and Fuel in X-Plane After calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure the weight, balance and fuel for your upcoming flight.', 'In X-Plane, a pre-flight inspection is not merely undertaken to simulate reality, but does in fact have real purpose, because the control surfaces of the aircraft interact directly with the airflow over and around them, just as in real life.']",15
-,"['Setting the Weight, Balance and Fuel in X-Plane .................................................................................... 62 Checklists .................................................................................................................................................... 63', 'When you ""fly"" an airplane in X-Plane, there are no artificial rules in place to govern how the aircraft behaves.', ""Due to the use of 'Blade Element Theory' in X-Plane, an aircraft must be modeled with great accuracy, in order that it behave like its real-life counterpart."", 'However, despite this, some differences will be apparent, because even the smallest factor plays into the ultimate behavior of the aircraft, both in real life, and in X-Plane.', ""Control Display Unit (CDU) Pilot's Primary Instrument Panel Thrust Lever Quadrant and Center Console 9 Co-Pilot's Primary Instrument Panel Pilot's EFIS (Electronic Flight Instrument System)"", ""Control Panel Engine Instrument Panel / Autopilot Panel Co-Pilot's EFIS (Electronic Flight Instrument System)"", ""Control Panel 10 Pilot's Left Glance View Overhead Panel Co-Pilot's Right Glance View 11 Operating the controls"", 'Levers are operated by assigning a peripheral device to the necessary axes in X-Plane (throttle, prop, mixture etc.).', 'This indicates that you are ready to rotate the control counter-clockwise.', 'The Yoke / Stick / Joystick is operated by assigning a peripheral device to the ""roll"" and ""pitch"" axes in X-Plane.', 'The Rudder Pedals are operated by assigning a peripheral device to the ""yaw"" axis in X-Plane.', 'If your rudders also support toe braking, create additional assignments to the ""left toe brake"" and ""right toe brake"" axes in X-Plane.', 'To simulate this, assign the lateral axis of your yoke (or joystick) to the ""Roll"" command in X-Plane, and the vertical axis to the ""Pitch"" command.', 'To simulate the thrust levers for a B737-800, assign two levers on your quadrant to the ""Throttle 1"" and ""Throttle 2"" property in X-Plane.', 'To simulate this, assign two levers on your quadrant to the ""Mixture 1"" and ""Mixture 2"" properties in X-Plane. .', 'To simulate this, assign a peripheral lever to the ""Flaps"" property in X-Plane. .', 'To simulate this, assign a peripheral lever to the ""Landing gear"" property in X-Plane. .', 'To simulate this, assign the yaw axis of your pedals peripheral device (or a joystick axis) to the ""yaw"" property in X-Plane.', 'To simulate this, assign the brake ""toe-tipping"" motion of each individual pedal (or a joystick axis) to the ""left toe brake"" and ""right toe brake"" property in X-Plane.', 'Switches at the bottom of this panel are provided for the wing (electrical) anti-ice, and engine intake anti-ice heaters.', '-29 420 1,000 43,050 44,050 8500 8,500 27,050 60 60 60 1800 1800 34,620 13.6 -29 61  Setting the Weight, Balance and Fuel in X-Plane After calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure the weight, balance and fuel for your upcoming flight.', 'In X-Plane, a pre-flight inspection is not merely undertaken to simulate reality, but does in fact have real purpose, because the control surfaces of the aircraft interact directly with the airflow over and around them, just as in real life.']",22
.................................................................................... 62 checklist,"['Setting the Weight, Balance and Fuel in X-Plane .................................................................................... 62 Checklists .................................................................................................................................................... 63']",1
pre-flight exterior inspection,"['Pre-Flight Exterior Inspection .................................................................................................................', 'Pre-Flight Exterior Inspection A Pre-Flight Inspection should always precede flight in any aircraft.']",2
cold and dark to engine start,['Cold and Dark to Engine Start .................................................................................................................'],1
taxi,['Before Taxi ..............................................................................................................................................'],1
takeoff,"['Before Takeoff.........................................................................................................................................', 'After Takeoff ...........................................................................................................................................', 'The B737-800 is equipped with a Flap lever, which controls the deployment of the flaps for takeoff and landing.', 'The rudders keep the aircraft straight during takeoff and landing, and help make coordinated turns.', '70 ENGINE 2 FUEL CONTROL LEVER - UP (ON) (ENGINE) GENERATOR 1 - ON (ENGINE) GENERATOR 2 - ON APU GENERATOR 1 - OFF APU GENERATOR 2 - OFF 71 APU BLEED - OFF APU - OFF 72 Before Taxi SEATBELT SIGN - ON ELEVATOR TRIM - SET FOR TAKEOFF (+ 10 Degrees) 73 FLAPS - SET (5 Degrees) FLIGHT CONTROLS -', 'See: Assigning peripheral devices 74 TAXI LIGHTS - ON TRANSPONDER - ALT OFF PARKING BRAKE - OFF 75 Before Takeoff ALTIMETER - SET TRANSPONDER - ALT ON LANDING LIGHTS - ON (TAXI LIGHTS - OFF)']",6
