moby-dick-002-chapter-1-loomings_nouns.csv
Unique nouns: 400,Total nouns: 629
Total time: 2.46 sec,Cost per noun: 3.91 ms
a way,['It is a way I have of driving off the spleen and regulating the circulation.'],1
the spleen,['It is a way I have of driving off the spleen and regulating the circulation.'],1
the circulation,['It is a way I have of driving off the spleen and regulating the circulation.'],1
myself,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can."", 'It is quite as much as I can do to take care of myself, without taking care of ships, barques, brigs, schooners, and what not.']",3
the mouth,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
a damp,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
my soul,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
cof\xef\xac\x81n warehouse,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
the rear,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
every funeral,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
my hypos,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
such an upper hand,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
a strong moral principle,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
the street,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can."", 'Right and left, the streets take you waterward.']",2
people's hat,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can.""]",1
sea,"[""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can."", 'Why is almost every robust healthy boy with a robust healthy soul in him, at some time or other crazy to go to sea?', 'Now, when I say that I am in the habit of going to sea whenever I begin to grow hazy about the eyes, and begin to be over conscious of my lungs, I do not mean to have it inferred that I ever go to sea as a passenger.', 'no, I never go as a passenger; nor, though I am something of a salt, do I ever go to sea as a Commodore, or 3Created for Lit2Go on the web at etc.usf.eduMoby', 'No, when I go to sea, I go as a simple sailor, right before the mast, plumb down into the fore-castle, aloft there to the royal mast-head.', 'Again, I always go to sea as a sailor, because they make a point of paying me for my trouble, whereas they never pay passengers a single penny that I ever heard of.', 'how cheerfully we consign ourselves to perdition!Finally, I always go to sea as a sailor, because of the wholesome exercise and pure air of the fore-castle deck.']",8
my substitute,['This is my substitute for pistol and ball.'],1
pistol,['This is my substitute for pistol and ball.'],1
ball,['This is my substitute for pistol and ball.'],1
a philosophical \xef\xac\x82ourish cato,['With a philosophical \\xef\\xac\\x82ourish Cato throws himself upon his sword; I quietly take to the ship.'],1
himself,"['With a philosophical \\xef\\xac\\x82ourish Cato throws himself upon his sword; I quietly take to the ship.', 'Chief among these motives was the overwhelming idea of the great whale himself.']",2
his sword,['With a philosophical \\xef\\xac\\x82ourish Cato throws himself upon his sword; I quietly take to the ship.'],1
the ship,['With a philosophical \\xef\\xac\\x82ourish Cato throws himself upon his sword; I quietly take to the ship.'],1
nothing,"['There is nothing surprising in this.', 'Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suf\\xef\\xac\\x81ce.']",2
they,"['If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.', 'What do they here?But look!', 'Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suf\\xef\\xac\\x81ce.', 'They must get just as nigh the water as they possibly can without falling', 'And there they stand- miles of them- leagues.', 'Inlanders all, they come from lanes and alleys, streets avenues- north, east, south, and west.', 'Yet here they all unite.', 'Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?Once more.', 'I abandon the glory and distinction of such of\\xef\\xac\\x81ces to those who like them.', 'True, they rather order me about some, and make me jump from spar to spar, like a grasshopper in a May meadow.', 'however they may thump and punch me about, I have the 4Created for Lit2Go on the web at etc.usf.eduMoby', 'Again, I always go to sea as a sailor, because they make a point of paying me for my trouble, whereas they never pay passengers a single penny that I ever heard of.', 'would they let me- since it is but well to be on friendly terms with all the inmates of the place one lodges in.', 'Dick: Chapter 1 by Herman Melvillemy inmost soul, endless processions of the whale, and, mid most of them all, one grand hooded phantom, like a snow hill in the air.7Created for Lit2Go on the web at etc.usf.edu']",16
almost all man,"['If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.']",1
their degree,"['If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.']",1
some time,"['If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.', 'Why is almost every robust healthy boy with a robust healthy soul in him, at some time or other crazy to go to sea?']",2
very nearly the same feeling,"['If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.']",1
the ocean,"['If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.']",1
your insular city,"['There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs- commerce surrounds it with her surf.']",1
the manhattoe,"['There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs- commerce surrounds it with her surf.']",1
wharf,"['There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs- commerce surrounds it with her surf.']",1
indian isle,"['There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs- commerce surrounds it with her surf.']",1
coral reefs- commerce,"['There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs- commerce surrounds it with her surf.']",1
her surf,"['There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs- commerce surrounds it with her surf.']",1
you,"['Right and left, the streets take you waterward.', 'What do you see?-', 'Say you are in the country; in some high land of lakes.', 'Take almost any path you please, and ten to one it carries you down in a dale, and leaves you there by a pool in the stream.', 'Let the most absent-minded of men be plunged in his deepest reveries- stand that man on his legs, set his feet a-going, and he will infallibly lead you to water, if water there be in all that region.', 'Should you ever be athirst in the great American desert, try this experiment, if your caravan happen to be supplied with a metaphysical professor.', 'He desires to paint you the dreamiest, shadiest, quietest, most enchanting bit of romantic landscape in all the valley of the Saco.', 'Go visit the Prairies in June, when for scores on scores of miles you wade knee-deep among Tiger-lilies- what is the one charm', 'Were Niagara but a cataract of sand, would you travel your thousand miles to see it?', 'Why upon your \\xef\\xac\\x81rst voyage as a passenger, did you yourself feel such a mystical vibration, when \\xef\\xac\\x81rst told that you and your ship were now out of sight of land?', 'For to go as a passenger you must needs have a purse, and a purse is but a rag unless you have something in it.', 'It is out of the idolatrous dotings of the old Egyptians upon broiled ibis and roasted river horse, that you see the mummies of those creatures in their huge bakehouses the pyramids.', ""It touches one's sense of honor, particularly if you come of an old established family in the land, the Van Rensselaers, or Randolphs, or Hardicanutes."", 'And more than all, if just previous to putting your hand into the tar-pot, you have been lording it as a country schoolmaster, making the tallest boys stand in awe of you.', 'The transition is a keen one, I assure you, from a schoolmaster to a sailor, and requires a strong decoction of Seneca and the Stoics to enable you to grin and bear it.', 'Do you think the archangel Gabriel thinks anything the less of me, because I promptly and respectfully obey that old hunks in that particular instance?', 'For as in this world, head winds are far more prevalent than winds from astern (that is, if you never violate the Pythagorean maxim), so for the most part the Commodore on the quarter-deck gets his atmosphere at second hand from the sailors on the forecastle.']",23
its extreme downtown,"['Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.']",1
the battery,"['Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.']",1
that noble mole,"['Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.']",1
wave,"['Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.']",1
breeze,"['Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.']",1
sight,"['Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.', 'Why upon your \\xef\\xac\\x81rst voyage as a passenger, did you yourself feel such a mystical vibration, when \\xef\\xac\\x81rst told that you and your ship were now out of sight of land?']",2
land,"['Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours previous were out of sight of land.', 'Why upon your \\xef\\xac\\x81rst voyage as a passenger, did you yourself feel such a mystical vibration, when \\xef\\xac\\x81rst told that you and your ship were now out of sight of land?', 'I love to sail forbidden seas, and land on barbarous coasts.']",3
the crowd,['Look at the crowds of water-gazers there.'],1
water-gazers,['Look at the crowds of water-gazers there.'],1
moby,['Moby Dick: Chapter 1 by Herman MelvilleCircumambulate the city of a dreamy Sabbath afternoon.'],1
chapter,"['Moby Dick: Chapter 1 by Herman MelvilleCircumambulate the city of a dreamy Sabbath afternoon.', 'Dick: Chapter 1 by Herman Melvilleeach with a hollow trunk, as if a hermit and a cruci\\xef\\xac\\x81x were within; and here sleeps his meadow, and there sleep his cattle; and up from yonder cottage goes a sleepy smoke.', 'Dick: Chapter 1 by Herman Melvillea Captain, or a Cook.', ""Dick: Chapter 1 by Herman Melvillesatisfaction of knowing that it is all right; that everybody else is one way or other served in much the same way- either in a physical or metaphysical point of view, that is; and so the universal thump is passed round, and all hands should rub each other's shoulder-blades, and be content."", 'Dick: Chapter 1 by Herman Melvillemore extensive performances.', 'Dick: Chapter 1 by Herman Melvillemy inmost soul, endless processions of the whale, and, mid most of them all, one grand hooded phantom, like a snow hill in the air.7Created for Lit2Go on the web at etc.usf.edu']",6
the city,['Moby Dick: Chapter 1 by Herman MelvilleCircumambulate the city of a dreamy Sabbath afternoon.'],1
a dreamy sabbath afternoon,['Moby Dick: Chapter 1 by Herman MelvilleCircumambulate the city of a dreamy Sabbath afternoon.'],1
corlear hook,"['Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward.']",1
coentie,"['Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward.']",1
thence,"['Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward.']",1
whitehall,"['Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward.']",1
northward,"['Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward.']",1
what,"['What do you see?-', 'What do they here?But look!', 'What is the chief element he employs?', 'Go visit the Prairies in June, when for scores on scores of miles you wade knee-deep among Tiger-lilies- what is the one charm', 'It is quite as much as I can do to take care of myself, without taking care of ships, barques, brigs, schooners, and what not.', 'What does that indignity amount to, weighed, I mean, in the scales of the New Testament?', 'But being paid,- what will compare with it?', 'Not ignoring what is good, I am quick to perceive a horror, and could still be social with it-']",8
silent sentinel,"['Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men \\xef\\xac\\x81xed in ocean reveries.']",1
the town,"['Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men \\xef\\xac\\x81xed in ocean reveries.']",1
thousand,"['Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men \\xef\\xac\\x81xed in ocean reveries.']",1
upon thousand,"['Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men \\xef\\xac\\x81xed in ocean reveries.']",1
mortal man,"['Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men \\xef\\xac\\x81xed in ocean reveries.']",1
ocean reverie,"['Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men \\xef\\xac\\x81xed in ocean reveries.']",1
the spile,"['Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.']",1
the pier-heads,"['Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.']",1
the bulwark,"['Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.']",1
ship,"['Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.', 'It is quite as much as I can do to take care of myself, without taking care of ships, barques, brigs, schooners, and what not.']",2
china,"['Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.']",1
the rigging,"['Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.']",1
a still well seaward peep,"['Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; some high aloft in the rigging, as if striving to get a still better seaward peep.']",1
landsman,"['But these are all landsmen; of week days pent up in lath and plaster- tied to counters, nailed to benches, clinched to desks.']",1
week day,"['But these are all landsmen; of week days pent up in lath and plaster- tied to counters, nailed to benches, clinched to desks.']",1
lath,"['But these are all landsmen; of week days pent up in lath and plaster- tied to counters, nailed to benches, clinched to desks.']",1
plaster-,"['But these are all landsmen; of week days pent up in lath and plaster- tied to counters, nailed to benches, clinched to desks.']",1
counter,"['But these are all landsmen; of week days pent up in lath and plaster- tied to counters, nailed to benches, clinched to desks.']",1
bench,"['But these are all landsmen; of week days pent up in lath and plaster- tied to counters, nailed to benches, clinched to desks.']",1
desk,"['But these are all landsmen; of week days pent up in lath and plaster- tied to counters, nailed to benches, clinched to desks.']",1
the green \xef\xac\x81eld,['Are the green \\xef\\xac\\x81elds gone?'],1
more crowd,"['here come more crowds, pacing straight for the water, and seemingly bound for a dive.']",1
the water,"['here come more crowds, pacing straight for the water, and seemingly bound for a dive.', 'They must get just as nigh the water as they possibly can without falling']",2
a dive,"['here come more crowds, pacing straight for the water, and seemingly bound for a dive.']",1
the extreme limit,['Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suf\\xef\\xac\\x81ce.'],1
the land,"['Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suf\\xef\\xac\\x81ce.', ""It touches one's sense of honor, particularly if you come of an old established family in the land, the Van Rensselaers, or Randolphs, or Hardicanutes.""]",2
loitering,['Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suf\\xef\\xac\\x81ce.'],1
the shady lee,['Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suf\\xef\\xac\\x81ce.'],1
yonder warehouse,['Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will not suf\\xef\\xac\\x81ce.'],1
mile,"['And there they stand- miles of them- leagues.', 'Go visit the Prairies in June, when for scores on scores of miles you wade knee-deep among Tiger-lilies- what is the one charm']",2
them- league,['And there they stand- miles of them- leagues.'],1
lane,"['Inlanders all, they come from lanes and alleys, streets avenues- north, east, south, and west.']",1
alley,"['Inlanders all, they come from lanes and alleys, streets avenues- north, east, south, and west.']",1
street,"['Inlanders all, they come from lanes and alleys, streets avenues- north, east, south, and west.']",1
the magnetic virtue,"['Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?Once more.']",1
the needle,"['Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?Once more.']",1
the compass,"['Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?Once more.']",1
