document_nouns.csv
Unique nouns: 1014,Total nouns: 1427
Total time: 5.669 sec,Cost per noun: 3.973 ms
flight,"['Pre-Flight ............................................................................................................', 'This is equivalent to about $3.4 million per year per airline as a result of having an additional 15 passengers per flight.', 'Integrated Airplane Information Management System (AIMS) provides flight and maintenance crews all pertinent information concerning the overall condition of the airplane, its maintenance requirements and its key operating functions, including flight, thrust and communications management.', 'By standardizing procedures the company can budget flights better financially as flights will always be the same or at least somewhat similar.', '(cid:131) Load fuel planned for flight.']",6
14 gate departure,['14 Gate Departure....................................................................................................'],1
14 takeoff,['14 Takeoff ...............................................................................................................'],1
14 climb,['14 Climb..................................................................................................................15'],1
cruise,"['Cruise .................................................................................................................15', 'Delta Virtual Airlines aircraft should always carry a minimum fuel load for the trip to destination, alternate and a 60 min reserve in cruise at low altitude.', 'CRUISE (cid:131)']",3
descent,"['Descent...............................................................................................................', 'When flying over long bodies of water, remember that in the event of pressurization problem or an engine failure that requires descent to 14,000 feet MSL for passenger comfort, the fuel burn for your aircraft will increase significantly and may leave you short of your initial destination.', 'DESCENT (cid:131)']",3
approach,"['Approach.............................................................................................................', 'Logbook / FOB / ACARS COMPLETED PAGE 19 Boeing 777-200ER Aircraft Operating Manual EMERGENCY PROCEDURES MISSED APPROACH (cid:131)', 'SINGLE ENGINE OUT LANDING (cid:131) Use flaps 20o and Vref for approach and landing.', ""Stay on or above the glide slope at all times during approach, once you get below it, you can't get back up it.""]",4
16 taxi,['16 Taxi to Terminal...................................................................................................'],1
the aircraft,"['Securing the Aircraft ............................................................................................17 Normal Checklists....................................................................................................18', 'Pilots are to make sure that the aircraft is always operated within all design limitations.', 'By flying using PAGE 13 Boeing 777-200ER Aircraft Operating Manual these procedures pilots will be able to make better use of the manual and also operate the aircraft in a similar fashion company wide.', 'Idle thrust is sufficient to keep the aircraft rolling.', 'At V , rotate the aircraft smoothly (2.5 deg/sec) to 15 degrees pitch up.', 'At acceleration height, lower the nose to 10 degrees to accelerate the aircraft and set flaps 1\\xc2\\xb0.', 'Slow the aircraft on the glide slope to 160 KIAS and flaps 20\\xc2\\xb0.', 'PAGE 16 Boeing 777-200ER Aircraft Operating Manual SECURING THE AIRCRAFT (cid:131)', 'At 1,500 feet AGL lower nose to 10 degrees and continue with the take off procedure for cleaning the aircraft up.', 'Not only is the aircraft stable, but strong crosswinds can be handled on demand.', 'The information in this manual has been gathered from Internet resources and from test flying the aircraft.']",11
17 normal checklist,['Securing the Aircraft ............................................................................................17 Normal Checklists....................................................................................................18'],1
aircraft,"['Receiving Aircraft.................................................................................................18', 'PAGE 17 Boeing 777-200ER Aircraft Operating Manual NORMAL CHECKLISTS RECEIVING AIRCRAFT (cid:131) Altimeters & Flt.']",2
start,"['Before Start.........................................................................................................', 'After Start...........................................................................................................', 'Preflight Briefing COMPLETE BEFORE START (cid:131)', 'Flight Controls CHECKED AFTER START (cid:131)']",4
takeoff,"['Before Takeoff.....................................................................................................', 'After Takeoff.......................................................................................................', 'TAKEOFF (cid:131)', 'Flaps SET___ BEFORE TAKEOFF (cid:131)', 'Transponder TA / RA AFTER TAKEOFF (cid:131)']",5
range,"['In Range.............................................................................................................', 'In Range"" Checklist.', 'Gear UP (cid:131) Flaps UP PAGE 18 Boeing 777-200ER Aircraft Operating Manual IN RANGE (cid:131)']",3
19 approach,['19 Approach.............................................................................................................'],1
19 emergency procedure ............................................................................................. 20 miss approach,['19 Emergency Procedures.............................................................................................20 Missed Approach..................................................................................................20'],1
take-off ................................................................................................ 20 single engine departure,['Rejected Take-off ................................................................................................20 Single Engine Departure.......................................................................................'],1
20 engine fire,['20 Engine Fire..........................................................................................................'],1
mid flight,"['20 Engine Failure Shutdown Mid Flight.......................................................................21 Single Engine Out Landing....................................................................................', 'PAGE 20 Boeing 777-200ER Aircraft Operating Manual ENGINE FAILURE SHUTDOWN MID FLIGHT (cid:131)']",2
21 total power loss,['21 Total Power Loss..................................................................................................21'],1
gear,['Gear Stuck Up .....................................................................................................'],1
22 pilot note,['22 Pilot Notes and Observations....................................................................................23'],1
observation,"['22 Pilot Notes and Observations....................................................................................23', 'PAGE 22 Boeing 777-200ER Aircraft Operating Manual PILOT NOTES AND OBSERVATIONS While the 777 is one of the most technologically advanced commercial aircraft in the world, pilots should always remember that the 777 is still a very large aircraft.']",2
legal stuff,['Legal Stuff ..............................................................................................................'],1
777-200er,"['Boeing 777-200ER Aircraft Operating Manual AIRCRAFT HISTORY AND BACKGROUND', 'The PW4098, at 99,040 pounds of thrust, is available for 777-200ER and 777-300 models.', 'PAGE 4 Boeing 777-200ER Aircraft Operating Manual FLIGHT DECK', '777-200ER Range 7,730 nm Fuel Burn Rate Factor 22.0 lbs/nm Fuel Base', 'PAGE 12 Boeing 777-200ER Aircraft Operating Manual RECOMMENDED EQUIPMENT Delta Virtual Airlines provides 32-bit Windows aircraft fleet installer utilities for its aircraft, as part of its Fleet Library.']",5
manual aircraft history,['Boeing 777-200ER Aircraft Operating Manual AIRCRAFT HISTORY AND BACKGROUND'],1
the beginning,"['At the beginning of the ""Jet Age"" in the late 1950s and early 1960s, speed was the paramount consideration between jetliners.']",1
"the "" jet age","['At the beginning of the ""Jet Age"" in the late 1950s and early 1960s, speed was the paramount consideration between jetliners.']",1
the late 1950,"['At the beginning of the ""Jet Age"" in the late 1950s and early 1960s, speed was the paramount consideration between jetliners.']",1
early 1960,"['At the beginning of the ""Jet Age"" in the late 1950s and early 1960s, speed was the paramount consideration between jetliners.']",1
speed,"['At the beginning of the ""Jet Age"" in the late 1950s and early 1960s, speed was the paramount consideration between jetliners.', 'Early airliners such as the Boeing 720 could cruise up to Mach 0.90, and the Convair 990 reached speeds up to Mach 0.97.', 'Reduce speed down to 270 KIAS passing through FL180.']",3
the paramount consideration,"['At the beginning of the ""Jet Age"" in the late 1950s and early 1960s, speed was the paramount consideration between jetliners.']",1
jetliner,"['At the beginning of the ""Jet Age"" in the late 1950s and early 1960s, speed was the paramount consideration between jetliners.']",1
early airliner,"['Early airliners such as the Boeing 720 could cruise up to Mach 0.90, and the Convair 990 reached speeds up to Mach 0.97.']",1
the convair,"['Early airliners such as the Boeing 720 could cruise up to Mach 0.90, and the Convair 990 reached speeds up to Mach 0.97.']",1
the oil crisis,"['The oil crisis of 1973 accelerated a trend that began with the Boeing 747 - a trend towards larger, more economical airliners.']",1
a trend,"['The oil crisis of 1973 accelerated a trend that began with the Boeing 747 - a trend towards larger, more economical airliners.']",2
"large, more economical airliner","['The oil crisis of 1973 accelerated a trend that began with the Boeing 747 - a trend towards larger, more economical airliners.']",1
the 1980,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
airline,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.', 'Airlines will have additional flexibility in serving the non-stop routes that passengers demand.', 'This is equivalent to about $3.4 million per year per airline as a result of having an additional 15 passengers per flight.']",3
extensive use,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
""" big twin "" aircraft","['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
the boeing 757,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
large passenger load,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
the high operating cost,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
the multi-engine aircraft,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
they,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.', 'Originally, they started out with a 767 derivative called the 767-X. After initial customer feedback, this derivative design was scrapped in favor of a completely new aircraft that became the 777.', 'They do not require the heavy, complex air conditioning apparatus needed to cool equipment on current flight decks.', 'For instance, pilots should not try a very short approach with very tight turns as if they were flying a 737 or other smaller aircraft.']",4
dc-10,"['In the 1980s, airlines started to make extensive use of ""big twin"" aircraft such as the Boeing 757, 767 and Airbus 300 to deliver large passenger loads without the high operating costs of the multi-engine aircraft they replaced, such as the 727, DC-10 and DC-8.']",1
delta's trans-atlantic flight,"[""Today, Delta's trans-Atlantic flights are dominated by the Boeing 767, with only a secondary role for the MD-11.""]",1
only a secondary role,"[""Today, Delta's trans-Atlantic flights are dominated by the Boeing 767, with only a secondary role for the MD-11.""]",1
the md-11,"[""Today, Delta's trans-Atlantic flights are dominated by the Boeing 767, with only a secondary role for the MD-11.""]",1
the late 1980,"['In the late 1980s, Boeing received requests for a new, larger twin-engine airliner to replace older L-1011s, DC-10s and early model 747s.']",1
boeing,"['In the late 1980s, Boeing received requests for a new, larger twin-engine airliner to replace older L-1011s, DC-10s and early model 747s.', 'The 777-200LR (longer range) and 777-300ER (extended range) airplanes are two longer-range airplanes that Boeing has recently developed.', 'PAGE 6 Boeing 777-200ER Aircraft Operating Manual AIRCRAFT SPECIFICATIONS AIRCRAFT DIMENSIONS (cid:131)', 'This manual makes no claim to represent Boeing, Rolls Royce, General Electric, Pratt & Whitney, Microsoft, Delta Air Lines, Melvin Rafi or any other party involved.']",4
request,"['In the late 1980s, Boeing received requests for a new, larger twin-engine airliner to replace older L-1011s, DC-10s and early model 747s.']",1
"a new, large twin-engine airliner","['In the late 1980s, Boeing received requests for a new, larger twin-engine airliner to replace older L-1011s, DC-10s and early model 747s.']",1
dc-10s,"['In the late 1980s, Boeing received requests for a new, larger twin-engine airliner to replace older L-1011s, DC-10s and early model 747s.']",1
early model 747,"['In the late 1980s, Boeing received requests for a new, larger twin-engine airliner to replace older L-1011s, DC-10s and early model 747s.']",1
a 767 derivative,"['Originally, they started out with a 767 derivative called the 767-X. After initial customer feedback, this derivative design was scrapped in favor of a completely new aircraft that became the 777.']",1
the 767-x.,"['Originally, they started out with a 767 derivative called the 767-X. After initial customer feedback, this derivative design was scrapped in favor of a completely new aircraft that became the 777.']",1
initial customer feedback,"['Originally, they started out with a 767 derivative called the 767-X. After initial customer feedback, this derivative design was scrapped in favor of a completely new aircraft that became the 777.']",1
this derivative design,"['Originally, they started out with a 767 derivative called the 767-X. After initial customer feedback, this derivative design was scrapped in favor of a completely new aircraft that became the 777.']",1
favor,"['Originally, they started out with a 767 derivative called the 767-X. After initial customer feedback, this derivative design was scrapped in favor of a completely new aircraft that became the 777.']",1
a completely new aircraft,"['Originally, they started out with a 767 derivative called the 767-X. After initial customer feedback, this derivative design was scrapped in favor of a completely new aircraft that became the 777.']",1
this aircraft,"['This aircraft would have the economics of a large, twin-engine aircraft combined with the range and seating capacity of large, multi-engine airliners.']",1
the economic,"['This aircraft would have the economics of a large, twin-engine aircraft combined with the range and seating capacity of large, multi-engine airliners.']",1
"a large, twin-engine aircraft","['This aircraft would have the economics of a large, twin-engine aircraft combined with the range and seating capacity of large, multi-engine airliners.']",1
the range,"['This aircraft would have the economics of a large, twin-engine aircraft combined with the range and seating capacity of large, multi-engine airliners.']",1
capacity,"['This aircraft would have the economics of a large, twin-engine aircraft combined with the range and seating capacity of large, multi-engine airliners.']",1
"large, multi-engine airliner","['This aircraft would have the economics of a large, twin-engine aircraft combined with the range and seating capacity of large, multi-engine airliners.']",1
the airplane,"['The airplane is larger than all other twinjet or tri-jet airplanes, yet smaller than the 747 and it brings the twin-engine economic advantage to medium- and long-range markets.', 'Throughout the design process, the airplane was ""pre-assembled"" on the computer, eliminating the need for a costly, full-scale mock-up.', 'Integrated Airplane Information Management System (AIMS) provides flight and maintenance crews all pertinent information concerning the overall condition of the airplane, its maintenance requirements and its key operating functions, including flight, thrust and communications management.']",3
all other twinjet,"['The airplane is larger than all other twinjet or tri-jet airplanes, yet smaller than the 747 and it brings the twin-engine economic advantage to medium- and long-range markets.']",1
tri-jet airplane,"['The airplane is larger than all other twinjet or tri-jet airplanes, yet smaller than the 747 and it brings the twin-engine economic advantage to medium- and long-range markets.']",1
it,"['The airplane is larger than all other twinjet or tri-jet airplanes, yet smaller than the 747 and it brings the twin-engine economic advantage to medium- and long-range markets.', 'PAGE 1 Boeing 777-200ER Aircraft Operating Manual Applying schedules, time of day demands and competitive strength to a Boeing flight selection model, it is estimated that flying 777s instead of A340s would result in a revenue advantage of $18 million per airplane (10 percent net present value) for a typical airline.', 'It recently completed the longest ever non-stop flight from Hong Kong to London going the long way around clocking in at just under 23 hours non-stop!', 'It has a range similar to a 747-400, but with much better economics per seat mile.', ""It received FAR33 certification (rated at 115,000 lbs of thrust) by the U.S. Federal Aviation Administration and the European Community's Joint Airworthiness Authorities in 2002."", 'It entered service in June 1995 with United Airlines, already qualified for 180-minute ETOPS (Extended-range Twin-engine Operations) - an industry first.', 'It is also the first engine to operate with approval for 207-minute ETOPS.', 'It permits airplane systems and associated computers to communicate with one another through a common wire path (a twisted pair of wires) instead of through separate one-way wire connections.', 'It incorporates a proprietary digital terrain map, which it continuously compares to airplane position data from the navigation system.', ""However, with that said it is always the pilot's responsibility to ensure that there is enough legal fuel for the flight."", ""Stay on or above the glide slope at all times during approach, once you get below it, you can't get back up it."", ""While the 777 can handle severe conditions, it is the pilot's responsibility to plan effectively and safely."", 'It is recommended that all 777 pilots stay up-to-date on all international flight rule changes and NAT track changes.', 'Most 777 routes are international routes and therefore the 777 pilots (along with the MD-11 pilots) should be the most knowledgeable when it comes to trans-oceanic and international flight planning.']",16
the twin-engine economic advantage,"['The airplane is larger than all other twinjet or tri-jet airplanes, yet smaller than the 747 and it brings the twin-engine economic advantage to medium- and long-range markets.']",1
medium- and long-range market,"['The airplane is larger than all other twinjet or tri-jet airplanes, yet smaller than the 747 and it brings the twin-engine economic advantage to medium- and long-range markets.']",1
five model,"['The 777 currently is available in five models: 777-200, 777-200ER (extended range), 777-200LR (longer-range), 777-300 and the 777-300ER.']",1
extended range,"['The 777 currently is available in five models: 777-200, 777-200ER (extended range), 777-200LR (longer-range), 777-300 and the 777-300ER.', 'The 777-200LR (longer range) and 777-300ER (extended range) airplanes are two longer-range airplanes that Boeing has recently developed.']",2
long-range,"['The 777 currently is available in five models: 777-200, 777-200ER (extended range), 777-200LR (longer-range), 777-300 and the 777-300ER.']",1
the 777-300er,"['The 777 currently is available in five models: 777-200, 777-200ER (extended range), 777-200LR (longer-range), 777-300 and the 777-300ER.', 'Both the 777-200LR and the 777-300ER were entered into service within the past year.', 'The 777-300ER is a versatile long-range aircraft with an increased capacity over the -200ER/LR.', 'PAGE 3 Boeing 777-200ER Aircraft Operating Manual Certification, first delivery, and entry into service of the 777-300ER are set for 2003.']",4
the 777s seat,"['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
301 to 368 passenger,"['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
a three-class configuration,"['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
a range,"['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.', 'It has a range similar to a 747-400, but with much better economics per seat mile.']",2
"5,210 nautical mile","['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
"9,649 km","['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
"the 777-200 to 8,810 nautical mile","['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
"16,316 km","['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
the 777-200lr long range ) model,"['The 777s seat from 301 to 368 passengers in a three-class configuration with a range of 5,210 nautical miles (9,649 km) in the 777-200 to 8,810 nautical miles (16,316 km) for the 777-200LR (longer range) model.']",1
the 777 program,['The 777 program was launched in October 1990 with an order from United Airlines.'],1
october,['The 777 program was launched in October 1990 with an order from United Airlines.'],1
an order,['The 777 program was launched in October 1990 with an order from United Airlines.'],1
united airline,"['The 777 program was launched in October 1990 with an order from United Airlines.', 'It entered service in June 1995 with United Airlines, already qualified for 180-minute ETOPS (Extended-range Twin-engine Operations) - an industry first.']",2
june,"['In June 1995, United flew its first 777 in revenue service.', 'The first 777-300 was delivered to Cathay Pacific Airways in June 1998.', 'It entered service in June 1995 with United Airlines, already qualified for 180-minute ETOPS (Extended-range Twin-engine Operations) - an industry first.']",3
revenue service,"['In June 1995, United flew its first 777 in revenue service.']",1
june 26th,"['On June 26th, 1995, the Boeing board of directors authorized production of the 777-300.']",1
the boeing board,"['On June 26th, 1995, the Boeing board of directors authorized production of the 777-300.']",1
director,"['On June 26th, 1995, the Boeing board of directors authorized production of the 777-300.']",1
production,"['On June 26th, 1995, the Boeing board of directors authorized production of the 777-300.']",1
pacific airway,['The first 777-300 was delivered to Cathay Pacific Airways in June 1998.'],1
a high-capacity,"['The 777-300 is a high-capacity, stretched version of the newest twin-aisle jet.']",1
version,"['The 777-300 is a high-capacity, stretched version of the newest twin-aisle jet.']",1
the new twin-aisle jet,"['The 777-300 is a high-capacity, stretched version of the newest twin-aisle jet.']",1
this new member,"['This newest member of the 777 family is ""market-driven"" to meet airline demand for a jetliner sized to replace older twin-aisle airplanes, including early versions of the 747.']",1
the 777 family,"['This newest member of the 777 family is ""market-driven"" to meet airline demand for a jetliner sized to replace older twin-aisle airplanes, including early versions of the 747.', ""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",2
airline demand,"['This newest member of the 777 family is ""market-driven"" to meet airline demand for a jetliner sized to replace older twin-aisle airplanes, including early versions of the 747.']",1
a jetliner,"['This newest member of the 777 family is ""market-driven"" to meet airline demand for a jetliner sized to replace older twin-aisle airplanes, including early versions of the 747.']",1
old twin-aisle airplane,"['This newest member of the 777 family is ""market-driven"" to meet airline demand for a jetliner sized to replace older twin-aisle airplanes, including early versions of the 747.']",1
early version,"['This newest member of the 777 family is ""market-driven"" to meet airline demand for a jetliner sized to replace older twin-aisle airplanes, including early versions of the 747.']",1
the 777-300 complement,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
the exist range,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
available 777 model,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
another set,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
mission capability,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
the world's carrier,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
an attractive option,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
progressively low cost,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
seat,"[""The 777-300 complements the existing range of available 777 models with another set of mission capabilities for the world's carriers and offers an attractive option for progressively lower costs per seat within the 777 family.""]",1
two long-range airplane,['The 777-200LR (longer range) and 777-300ER (extended range) airplanes are two longer-range airplanes that Boeing has recently developed.'],1
february,"['Launched in February 2000, the two airplanes can fly farther and faster than the A340 competition.']",1
the two airplane,"['Launched in February 2000, the two airplanes can fly farther and faster than the A340 competition.']",1
the a340 competition,"['Launched in February 2000, the two airplanes can fly farther and faster than the A340 competition.']",1
additional flexibility,['Airlines will have additional flexibility in serving the non-stop routes that passengers demand.'],1
the non-stop route,['Airlines will have additional flexibility in serving the non-stop routes that passengers demand.'],1
the first jetliner,['The Boeing 777 is the first jetliner to be 100 percent digitally designed using three-dimensional computer graphics.'],1
100 percent,['The Boeing 777 is the first jetliner to be 100 percent digitally designed using three-dimensional computer graphics.'],1
three-dimensional computer graphic,['The Boeing 777 is the first jetliner to be 100 percent digitally designed using three-dimensional computer graphics.'],1
the design process,"['Throughout the design process, the airplane was ""pre-assembled"" on the computer, eliminating the need for a costly, full-scale mock-up.']",1
the computer,"['Throughout the design process, the airplane was ""pre-assembled"" on the computer, eliminating the need for a costly, full-scale mock-up.']",1
the need,"['Throughout the design process, the airplane was ""pre-assembled"" on the computer, eliminating the need for a costly, full-scale mock-up.']",1
"a costly, full-scale mock-up","['Throughout the design process, the airplane was ""pre-assembled"" on the computer, eliminating the need for a costly, full-scale mock-up.']",1
new design and testing initiative,"['New design and testing initiatives helped ensure the highest possible levels of reliability on the very first 777, compared to what had been possible on previous jetliner introductions.']",1
the high possible level,"['New design and testing initiatives helped ensure the highest possible levels of reliability on the very first 777, compared to what had been possible on previous jetliner introductions.']",1
reliability,"['New design and testing initiatives helped ensure the highest possible levels of reliability on the very first 777, compared to what had been possible on previous jetliner introductions.', 'This further simplifies assembly and saves weight, while increasing reliability through a reduction in the amount of wires and connectors.']",2
what,"['New design and testing initiatives helped ensure the highest possible levels of reliability on the very first 777, compared to what had been possible on previous jetliner introductions.']",1
previous jetliner introduction,"['New design and testing initiatives helped ensure the highest possible levels of reliability on the very first 777, compared to what had been possible on previous jetliner introductions.']",1
today's 777 operator,"[""Today's 777 operators enjoy a 99 percent reliability rate, which is unmatched in the industry.""]",1
a 99 percent reliability rate,"[""Today's 777 operators enjoy a 99 percent reliability rate, which is unmatched in the industry.""]",1
the industry,"[""Today's 777 operators enjoy a 99 percent reliability rate, which is unmatched in the industry.""]",1
page 1 boee 777-200er aircraft operate manual,"['PAGE 1 Boeing 777-200ER Aircraft Operating Manual Applying schedules, time of day demands and competitive strength to a Boeing flight selection model, it is estimated that flying 777s instead of A340s would result in a revenue advantage of $18 million per airplane (10 percent net present value) for a typical airline.']",1
